BaseFeatureIdx,GeometricSim,FunctionalJaccard
0,1.0,0.060539752005835154
1,0.8240072,0.39313189876240384
2,1.0,0.06013934726806014
3,0.87490374,0.21753607103218647
4,1.0,0.060117302052785926
5,1.0,0.06050605060506051
6,1.0,0.06013934726806014
7,0.9625879,0.13274932614555257
8,1.0,0.06013934726806014
9,1.0,0.0559506875296349
10,1.0,0.06013934726806014
11,1.0,0.0625
12,1.0,0.06013934726806014
13,1.0,0.03918162516888631
14,1.0,0.05858806404657933
15,1.0,0.1691542288557214
16,1.0,0.06013934726806014
17,1.0,0.06013934726806014
18,1.0,0.05991962002192181
19,0.99728906,0.05033971587399629
20,1.0,0.10694424639954371
21,1.0,0.06013934726806014
22,1.0,0.05935754189944134
23,0.7461206,0.24699453551912567
24,1.0,0.06013934726806014
25,1.0,0.07216183574879227
26,1.0,0.05979457079970653
27,1.0,0.0701067615658363
28,1.0,0.06013934726806014
29,1.0,0.059282925097621585
30,0.87765455,0.5985937338434495
31,1.0,0.20473568281938326
32,1.0,0.06013934726806014
33,1.0,0.06018348623853211
34,1.0,0.0959723096286973
35,0.5695071,0.20849636668529906
36,1.0,0.06013934726806014
37,1.0,0.06013934726806014
38,0.96788234,0.4381116249059039
39,0.9487215,0.2815547703180212
40,1.0,0.06335493160547156
41,1.0,0.06013934726806014
42,1.0,0.06061719324026451
43,1.0,0.06013934726806014
44,1.0,0.0959723096286973
45,1.0,0.0959723096286973
46,1.0,0.06013934726806014
47,0.9362679,0.26537551744529864
48,1.0,0.05884516366311144
49,0.98553455,0.12525782861428839
50,1.0,0.06013934726806014
51,1.0,0.06013934726806014
52,1.0,0.06013934726806014
53,0.95421565,0.2339941066166622
54,0.9989801,0.04165013883379611
55,1.0,0.059951676230746
56,1.0,0.06013934726806014
57,1.0,0.06013934726806014
58,1.0,0.06013934726806014
59,0.9730334,0.16715643906655142
60,1.0,0.060561299852289516
61,0.56363934,0.02019767941555651
62,1.0,0.06013934726806014
63,1.0,0.06013934726806014
64,1.0,0.06013934726806014
65,0.99984217,0.04186641099392777
66,1.0,0.06013934726806014
67,1.0,0.05979457079970653
68,1.0,0.05969049373618276
69,1.0,0.06013934726806014
70,1.0,0.06013934726806014
71,1.0,0.06013934726806014
72,1.0,0.05623836126629423
73,1.0,0.0605726872246696
74,1.0,0.06108266276517922
75,1.0,0.05337690631808279
76,1.0,0.06013934726806014
77,1.0,0.0859375
78,0.523594,0.19373040752351098
79,1.0,0.06013934726806014
80,1.0,0.06013934726806014
81,1.0,0.06398348813209494
82,1.0,0.06013934726806014
83,1.0,0.4671652255199813
84,0.970806,0.22609331221829698
85,0.9999637,0.06151209293467911
86,0.9103019,0.7630341042728341
87,1.0,0.03475742215785663
88,0.8408361,0.11027070063694268
89,1.0,0.06016672707502718
90,1.0,0.046153846153846156
91,1.0,0.06013934726806014
92,0.91561556,0.16096394407652687
93,1.0,0.06043956043956044
