layer,kl_mean,kl_std,method
0,0.14253318,0.24805354,hqq
1,0.12670772,0.23282094,hqq
2,0.12931004,0.24298248,hqq
3,0.09180224,0.13555072,hqq
4,0.074403025,0.09745717,hqq
5,0.066134766,0.08800123,hqq
6,0.07184588,0.100360885,hqq
7,0.07220566,0.1095494,hqq
8,0.04676625,0.0719339,hqq
9,0.04788233,0.07839257,hqq
10,0.04681454,0.07409999,hqq
11,0.058024865,0.08881638,hqq
12,0.06699353,0.10702401,hqq
13,0.08256044,0.119384244,hqq
14,0.09017628,0.13145757,hqq
15,0.10928528,0.17093182,hqq
16,0.1718777,0.2970731,hqq
17,0.26982144,0.52763194,hqq
18,0.308101,0.6188891,hqq
19,0.2763368,0.60860986,hqq
20,0.28960615,0.6353353,hqq
21,0.2752727,0.5976591,hqq
22,0.25345314,0.54136246,hqq
23,0.25999385,0.5923749,hqq
24,0.21767163,0.4330378,hqq
25,0.241839,0.5054279,hqq
0,0.013986748,0.024356317,fp8
1,0.013554504,0.024753977,fp8
2,0.013695512,0.026615096,fp8
3,0.008380624,0.012423921,fp8
4,0.006525132,0.008680821,fp8
5,0.005773702,0.009527198,fp8
6,0.005915306,0.010925761,fp8
7,0.005439375,0.00867834,fp8
8,0.003696594,0.008024677,fp8
9,0.0041316166,0.01711538,fp8
10,0.0041197496,0.0114671085,fp8
11,0.005327642,0.016107712,fp8
12,0.0061078356,0.017808272,fp8
13,0.0075148484,0.018035216,fp8
14,0.008144049,0.016742088,fp8
15,0.010558921,0.032700334,fp8
16,0.017510045,0.05314562,fp8
17,0.029036129,0.098764636,fp8
18,0.030181408,0.09018649,fp8
19,0.025794862,0.07056953,fp8
20,0.02704095,0.07260224,fp8
21,0.025650356,0.07371668,fp8
22,0.023893762,0.06666878,fp8
23,0.024503034,0.068063386,fp8
24,0.020524958,0.05227885,fp8
25,0.025833955,0.08564493,fp8
0,0.10667549,0.20790188,int4
1,0.10714339,0.20961788,int4
2,0.10775842,0.21213612,int4
3,0.08523099,0.13277842,int4
4,0.068271935,0.10142198,int4
5,0.06284931,0.08688237,int4
6,0.0689439,0.102860466,int4
7,0.06848416,0.101419285,int4
8,0.0420783,0.07116924,int4
9,0.04290297,0.073176466,int4
10,0.042766087,0.07816974,int4
11,0.052283376,0.103375554,int4
12,0.06096714,0.12726824,int4
13,0.07411674,0.124093495,int4
14,0.07930274,0.1223113,int4
15,0.10222867,0.1752523,int4
16,0.16082531,0.2982164,int4
17,0.25021902,0.53050613,int4
18,0.2707363,0.56352407,int4
19,0.24484655,0.5768988,int4
20,0.24283578,0.5210058,int4
21,0.23236829,0.4836628,int4
22,0.21772389,0.4558911,int4
23,0.22823553,0.52844006,int4
24,0.18797584,0.38406375,int4
25,0.22408235,0.51637375,int4
0,7.1538864e-08,1.6671363e-06,float16
1,0.00012593892,0.00085727917,float16
2,0.0005632065,0.0019696993,float16
3,0.00053758064,0.0012272365,float16
4,0.00050666375,0.0008725124,float16
5,0.00047907364,0.0006792634,float16
6,0.00043407077,0.000463495,float16
7,0.00041289104,0.00043349963,float16
8,0.00022253863,0.00022575198,float16
9,0.0002052345,0.0002737301,float16
10,0.00020693612,0.00036786692,float16
11,0.00024324955,0.00040059412,float16
12,0.00029154491,0.00062162825,float16
13,0.00037007802,0.0010349391,float16
14,0.00039811697,0.0010657959,float16
15,0.00046047274,0.00061047473,float16
16,0.0006439967,0.001413113,float16
17,0.0011611714,0.005837205,float16
18,0.0011375926,0.0023891134,float16
19,0.001000932,0.0016779578,float16
20,0.0010044585,0.0018192816,float16
21,0.0010144409,0.0023673503,float16
22,0.0009319875,0.002680527,float16
23,0.00093546644,0.0019863104,float16
24,0.00082243094,0.0016600022,float16
25,0.0010127496,0.0026988809,float16
0,0.004419112,0.007318429,int8
1,0.0046212752,0.007932771,int8
2,0.004361281,0.0068183593,int8
3,0.0028456154,0.003591127,int8
4,0.002218175,0.0027099464,int8
5,0.0019136105,0.0022968731,int8
6,0.0018850081,0.00222891,int8
7,0.001702667,0.0021189565,int8
8,0.001035668,0.0013882476,int8
9,0.0010330272,0.0020080796,int8
10,0.0011035972,0.0022038554,int8
11,0.0013799446,0.0031948683,int8
12,0.0016539418,0.0038136023,int8
13,0.0019096936,0.00405929,int8
14,0.002047688,0.0039030255,int8
15,0.0024961636,0.0048835054,int8
16,0.00430446,0.0089852195,int8
17,0.0072125685,0.021424802,int8
18,0.008030663,0.02972876,int8
19,0.006892105,0.02166789,int8
20,0.006866065,0.019345243,int8
21,0.0066790534,0.021810135,int8
22,0.006323514,0.020973325,int8
23,0.006362886,0.022186188,int8
24,0.0053166184,0.016328415,int8
25,0.00645996,0.025170268,int8
0,0.13248676,0.27450562,gptq
1,0.1382222,0.2850522,gptq
2,0.13021691,0.269866,gptq
3,0.10430379,0.1917002,gptq
4,0.07963515,0.13419567,gptq
5,0.07948829,0.13585044,gptq
6,0.08354188,0.13606551,gptq
7,0.07768834,0.14362337,gptq
8,0.049953084,0.07941611,gptq
9,0.051668297,0.09427365,gptq
10,0.048933033,0.08429997,gptq
11,0.062286556,0.123208545,gptq
12,0.06960029,0.13506262,gptq
13,0.08235011,0.13542156,gptq
14,0.086051434,0.13634486,gptq
15,0.10614302,0.15823305,gptq
16,0.16549484,0.27386647,gptq
17,0.25775397,0.48416552,gptq
18,0.2796723,0.5283034,gptq
19,0.25234497,0.47038135,gptq
20,0.26622486,0.4882791,gptq
21,0.2572815,0.5010369,gptq
22,0.24214926,0.5107325,gptq
23,0.25339332,0.64504105,gptq
24,0.21487376,0.49886015,gptq
25,0.2493486,0.54061395,gptq
0,5.599970817565918,5.935726642608643,awq
1,6.06900691986084,6.14345645904541,awq
2,5.854916572570801,5.863351345062256,awq
3,4.627083778381348,3.9545109272003174,awq
4,3.823331356048584,3.102525472640991,awq
5,2.1783103942871094,1.6158249378204346,awq
6,2.084951162338257,1.5340511798858643,awq
7,1.1659905910491943,0.8586223721504211,awq
8,0.7035315036773682,0.49405771493911743,awq
9,0.6266047358512878,0.41411733627319336,awq
10,0.6374148726463318,0.4306642413139343,awq
11,0.9286199808120728,0.6494444608688354,awq
12,0.915810763835907,0.6671026349067688,awq
13,1.079816460609436,0.7676212787628174,awq
