layer,kl_mean,kl_std,method
0,0.0018750308,0.0017358862,fp8
1,0.0016598308,0.0014509301,fp8
2,0.0017232733,0.0014658135,fp8
3,0.0018566402,0.0015792368,fp8
4,0.002228944,0.0035323875,fp8
5,0.004063891,0.06287063,fp8
6,0.0041256053,0.045853697,fp8
7,0.0041340296,0.02413962,fp8
8,0.007137876,0.1480902,fp8
9,0.0053024692,0.04259591,fp8
10,0.0067667924,0.08616112,fp8
11,0.00707618,0.08049142,fp8
12,0.008648042,0.10838072,fp8
13,0.008693128,0.085629426,fp8
14,0.008292537,0.043830495,fp8
15,0.008999537,0.06765007,fp8
16,0.009447613,0.07641065,fp8
17,0.009613442,0.067891106,fp8
18,0.009439122,0.03968063,fp8
19,0.0097584985,0.041883267,fp8
20,0.010034202,0.03221037,fp8
21,0.010414558,0.030893236,fp8
22,0.011191142,0.03991126,fp8
23,0.012077131,0.03523028,fp8
24,0.012918616,0.053968605,fp8
25,0.013681294,0.043436944,fp8
26,0.014611576,0.05406416,fp8
27,0.015147348,0.060100876,fp8
28,0.013568292,0.05641682,fp8
29,0.012218049,0.04069116,fp8
30,0.012316773,0.051999018,fp8
31,0.0115020685,0.049677487,fp8
32,0.012760095,0.06170358,fp8
33,0.012719895,0.057950996,fp8
34,0.01311251,0.055570353,fp8
35,0.012399483,0.05093193,fp8
36,0.014714354,0.093034275,fp8
37,0.015865715,0.11355209,fp8
38,0.017846325,0.12884796,fp8
39,0.021236023,0.15055853,fp8
40,0.026297426,0.28372112,fp8
41,0.026550528,0.21551791,fp8
42,0.026141053,0.2165407,fp8
43,0.030477904,0.29536888,fp8
44,0.03137362,0.293165,fp8
45,0.017861526,0.08956267,fp8
46,0.0080416985,0.02607133,fp8
47,0.006752626,0.024850793,fp8
0,0.018786687,0.017297987,int4
1,0.01648047,0.014997,int4
2,0.017322596,0.014996375,int4
3,0.020764502,0.017583827,int4
4,0.027256249,0.07993243,int4
5,0.03439485,0.049919557,int4
6,0.04033707,0.042070057,int4
7,0.04693124,0.040679555,int4
8,0.05307417,0.066967666,int4
9,0.056135546,0.088054806,int4
10,0.061029278,0.079720855,int4
11,0.06577816,0.071395,int4
