layer,kl_mean,kl_std,method
0,14.676726,6.7637014,awq
1,16.833265,5.0909204,awq
2,18.13669,4.010309,awq
3,18.35034,4.1047206,awq
4,18.847195,3.4752328,awq
5,18.803381,3.5123653,awq
6,18.405346,3.7863445,awq
7,16.895054,5.2570353,awq
8,16.890451,5.104398,awq
9,16.962217,4.980767,awq
10,17.391066,4.8073072,awq
11,16.837461,5.1784005,awq
12,16.561592,5.0441275,awq
13,16.09423,5.2463417,awq
14,15.862426,5.3096523,awq
15,16.345253,4.7963953,awq
16,15.729552,5.008075,awq
17,15.854506,4.8139396,awq
18,15.879962,4.5973845,awq
19,15.726975,4.397211,awq
20,15.580273,4.4598165,awq
21,14.224252,4.7001486,awq
22,14.562833,4.5637145,awq
23,14.530366,4.715963,awq
24,14.61457,4.7156167,awq
25,14.107153,4.5960965,awq
26,14.37621,4.597632,awq
27,13.502638,4.885317,awq
28,14.44337,4.7382956,awq
29,14.703114,5.2726073,awq
30,15.500742,5.1928573,awq
31,16.667006,5.0447035,awq
32,16.01411,5.949514,awq
33,15.259176,6.3186083,awq
0,19.414734,3.1746738,hqq
1,19.358582,2.4841475,hqq
2,19.214111,2.7500587,hqq
3,19.24818,2.9813554,hqq
4,19.331537,2.929607,hqq
5,19.374098,2.8000903,hqq
6,19.559687,2.5266447,hqq
7,19.632265,2.35546,hqq
8,19.62383,2.393265,hqq
9,19.65163,2.3583028,hqq
10,19.555529,2.6724515,hqq
11,19.482113,2.7486405,hqq
12,19.093517,3.2030208,hqq
13,18.895117,3.3482118,hqq
14,18.508692,3.7753417,hqq
15,18.344803,3.7822483,hqq
16,17.73286,3.978423,hqq
17,16.542707,4.470413,hqq
18,15.67552,4.6936035,hqq
19,15.289979,4.646791,hqq
20,14.307989,4.941755,hqq
21,13.226263,5.1982756,hqq
22,12.677081,4.9812107,hqq
23,11.674937,5.2796187,hqq
24,11.457228,5.1728563,hqq
25,11.37733,5.099377,hqq
26,11.107359,5.2314434,hqq
27,11.167792,5.5043335,hqq
28,11.485142,5.500092,hqq
29,11.661424,5.518166,hqq
30,11.823899,5.716289,hqq
31,12.336796,6.0555377,hqq
32,12.210207,6.304398,hqq
33,12.646881,6.4013734,hqq
0,19.353804,3.5385592,fp8
1,19.221708,2.584556,fp8
2,19.416779,2.3502567,fp8
3,19.406578,2.7269769,fp8
4,19.584188,2.5019221,fp8
5,19.436413,2.787498,fp8
