scope,layer,mean,std,low_entropy_frac,method
global,-1,0.21102992,0.2100444734096527,0.9899193548387096,bfloat16
layer,0,0.01719758,,1.0,bfloat16
layer,1,0.0755761,,1.0,bfloat16
layer,2,0.023572525,,1.0,bfloat16
layer,3,0.07030757,,1.0,bfloat16
layer,4,0.1302776,,1.0,bfloat16
layer,5,0.08331654,,1.0,bfloat16
layer,6,0.04694271,,1.0,bfloat16
layer,7,0.073801205,,1.0,bfloat16
layer,8,0.078557804,,1.0,bfloat16
layer,9,0.08033351,,1.0,bfloat16
layer,10,0.07386079,,1.0,bfloat16
layer,11,0.02941455,,1.0,bfloat16
layer,12,0.049742073,,1.0,bfloat16
layer,13,0.087998964,,1.0,bfloat16
layer,14,0.04785338,,1.0,bfloat16
layer,15,0.04471937,,1.0,bfloat16
layer,16,0.040910497,,1.0,bfloat16
layer,17,0.06758958,,1.0,bfloat16
layer,18,0.05441136,,1.0,bfloat16
layer,19,0.09323385,,1.0,bfloat16
layer,20,0.056694634,,1.0,bfloat16
layer,21,0.088350326,,1.0,bfloat16
layer,22,0.14971332,,1.0,bfloat16
layer,23,0.17888413,,1.0,bfloat16
layer,24,0.17183682,,1.0,bfloat16
layer,25,0.16423473,,1.0,bfloat16
layer,26,0.2026881,,1.0,bfloat16
layer,27,0.27413747,,1.0,bfloat16
layer,28,0.2085829,,1.0,bfloat16
layer,29,0.85580117,,0.84375,bfloat16
layer,30,0.20145951,,1.0,bfloat16
layer,31,0.3049001,,1.0,bfloat16
layer,32,0.45895663,,1.0,bfloat16
layer,33,0.39066654,,1.0,bfloat16
layer,34,0.17761604,,1.0,bfloat16
layer,35,0.9049625,,0.71875,bfloat16
layer,36,0.3185009,,1.0,bfloat16
layer,37,0.21422604,,1.0,bfloat16
layer,38,0.35817713,,1.0,bfloat16
layer,39,0.21707715,,1.0,bfloat16
layer,40,0.11907993,,1.0,bfloat16
layer,41,0.3256244,,1.0,bfloat16
layer,42,0.27506593,,1.0,bfloat16
layer,43,0.16106632,,1.0,bfloat16
layer,44,0.13743691,,1.0,bfloat16
layer,45,0.11209752,,1.0,bfloat16
layer,46,0.19099997,,1.0,bfloat16
layer,47,0.6809574,,0.9375,bfloat16
layer,48,0.090545714,,1.0,bfloat16
layer,49,0.1231965,,1.0,bfloat16
layer,50,0.109925285,,1.0,bfloat16
layer,51,0.21881658,,1.0,bfloat16
layer,52,0.1428884,,1.0,bfloat16
layer,53,0.56331193,,0.96875,bfloat16
layer,54,0.20126985,,1.0,bfloat16
layer,55,0.14842105,,1.0,bfloat16
layer,56,0.3261404,,1.0,bfloat16
layer,57,0.12658954,,1.0,bfloat16
layer,58,0.23996422,,1.0,bfloat16
layer,59,0.75355315,,0.90625,bfloat16
layer,60,0.31128532,,1.0,bfloat16
layer,61,0.55853564,,1.0,bfloat16
global,-1,0.39452854,0.4742475748062134,0.9284274193548387,awq
layer,0,0.032324057,,1.0,awq
layer,1,0.045537114,,1.0,awq
