layer,kl_mean,kl_std,method
0,14.236085,5.665191,awq
1,16.9585,5.5623655,awq
2,15.819018,5.526515,awq
3,14.178383,7.3117228,awq
4,13.832029,6.987306,awq
5,13.259098,8.0968075,awq
6,12.9792,7.9175386,awq
7,13.158913,8.004351,awq
8,13.165778,8.220105,awq
9,13.255765,8.249251,awq
10,12.943598,7.7765417,awq
11,13.306599,7.3187065,awq
12,13.494368,7.1718755,awq
13,13.127524,7.2320385,awq
14,13.045259,7.273241,awq
15,13.050121,7.2159243,awq
16,12.767824,7.7058806,awq
17,13.102204,7.9800158,awq
18,13.4618435,7.6344333,awq
19,13.267864,7.903302,awq
20,13.164237,7.992194,awq
21,13.432571,7.714303,awq
22,13.567039,7.5409727,awq
23,13.685552,7.3691936,awq
24,13.933111,7.105136,awq
25,13.993215,7.131316,awq
26,13.994459,6.956345,awq
27,13.716658,6.8574033,awq
28,13.65082,6.9672165,awq
29,13.034098,7.680909,awq
30,11.876229,7.858108,awq
31,11.659423,7.6688194,awq
32,11.270365,6.818937,awq
33,10.441409,6.084868,awq
34,11.254895,7.289753,awq
35,12.724274,5.237599,awq
36,13.189926,5.144717,awq
37,11.200071,4.6234326,awq
38,11.667053,4.8685417,awq
39,11.38943,4.9658437,awq
40,11.744842,4.780022,awq
41,12.419996,4.8403244,awq
42,12.866789,4.7148523,awq
43,12.150951,4.8614607,awq
44,11.575761,4.612707,awq
45,13.356519,4.8972487,awq
46,13.188049,5.113309,awq
47,8.540642,5.300494,awq
48,7.5369725,5.3291974,awq
49,7.557855,5.3809934,awq
50,7.465356,5.1071568,awq
51,7.6303263,4.894255,awq
52,8.714103,4.8189797,awq
53,8.873782,4.217741,awq
54,11.82831,4.256085,awq
55,13.965952,6.061319,awq
56,15.33463,6.0735283,awq
57,13.835838,6.570362,awq
58,15.060178,6.475087,awq
59,14.949024,6.108388,awq
60,14.240664,5.4623594,awq
61,14.624744,5.2958446,awq
0,16.866966,5.1640596,gptq
1,16.424068,5.5502167,gptq
2,15.849471,5.4477725,gptq
3,15.475799,6.434131,gptq
4,15.357812,6.126304,gptq
5,15.348628,6.7542486,gptq
6,15.061284,6.525882,gptq
7,14.687032,6.935954,gptq
8,14.973479,6.980486,gptq
9,15.098061,7.1367416,gptq
10,14.486276,6.830968,gptq
11,14.813713,6.5622168,gptq
12,14.851426,6.6008015,gptq
13,13.807564,6.663363,gptq
14,13.620634,6.6147046,gptq
15,13.4921465,6.4907813,gptq
16,13.703125,6.9399657,gptq
17,15.190217,7.1854744,gptq
18,15.290941,7.0247884,gptq
19,15.23983,7.1370296,gptq
20,15.262813,7.0884748,gptq
21,15.354009,6.920995,gptq
22,15.369019,6.757497,gptq
23,15.185111,6.73571,gptq
24,15.0364065,6.567887,gptq
25,14.741963,6.7684813,gptq
26,14.294682,6.4883256,gptq
27,13.190163,5.9379277,gptq
28,11.457149,5.537891,gptq
29,11.325853,5.896296,gptq
30,9.466814,5.317833,gptq
31,9.744112,5.3041043,gptq
32,9.209876,4.980876,gptq
33,9.606572,5.1696763,gptq
34,8.073054,4.682871,gptq
35,11.555656,4.829264,gptq
36,12.387394,5.0125837,gptq
37,9.856585,3.8031068,gptq
38,11.441516,4.339355,gptq
39,11.250912,4.580064,gptq
40,11.96083,4.7560616,gptq
41,12.919874,4.878168,gptq
42,13.432087,4.762933,gptq
43,12.801145,4.880984,gptq
44,11.835485,4.5333414,gptq
45,14.434167,5.005665,gptq
46,13.7821865,5.225674,gptq
47,9.1827965,4.5704136,gptq
48,8.225008,4.5551496,gptq
49,7.7669926,4.465691,gptq
50,7.960427,4.298449,gptq
51,8.013778,4.165536,gptq
52,9.048998,4.348449,gptq
53,8.748984,4.4146056,gptq
54,11.653714,4.8564773,gptq
55,13.629168,6.2393723,gptq
56,15.020604,6.313965,gptq
57,13.560134,6.6919937,gptq
58,14.92635,6.506468,gptq
59,14.890256,5.9885626,gptq
60,14.336246,5.343545,gptq
61,14.8521385,5.229241,gptq
