Model,Method,Baseline,Recall_Mean,Precision_Mean,Effective_Rank,Rank_Retention,Unique_Utilization,Recall_GT_0.7,Recall_GT_0.8,Recall_GT_0.9,Recall_GT_0.95,Recall_GT_0.99,Precision_GT_0.9,Dead_Features_Base,Dead_Features_Target,Jaccard_Mean,L0_Ratio
DeepSeek-R1-1.5b,bfloat16 (Base),bfloat16,1.0,1.0,1382.2518,1.0,1.0,,,,,,,,,,
DeepSeek-R1-1.5b,awq,bfloat16,0.6749380230903625,0.672722339630127,1375.5688,0.9951651692390442,0.71826171875,0.5660807490348816,0.4223226010799408,0.1777750700712204,0.0514322929084301,0.0035400390625,0.1777750700712204,0.0,0.0,0.04976670816540718,1.0
DeepSeek-R1-1.5b,int4,bfloat16,0.6708865761756897,0.6696154475212097,1378.3243,0.9971586465835571,0.7136637369791666,0.5591227412223816,0.4193522036075592,0.1776936799287796,0.0523681640625,0.0031331379432231188,0.1777750700712204,0.0,0.0,0.041564129292964935,1.0
DeepSeek-R1-1.5b,fp8,bfloat16,0.7014449238777161,0.7004322409629822,1381.251,0.9992759227752686,0.7313232421875,0.6085205078125,0.4828287661075592,0.2537841796875,0.0878499373793602,0.008138020522892475,0.2537027895450592,0.0,0.0,0.04516422376036644,1.0
DeepSeek-R1-1.5b,gptq,bfloat16,0.6688869595527649,0.667893648147583,1375.9434,0.9954360723495483,0.7105712890625,0.5574951171875,0.4152018129825592,0.1731363981962204,0.0502522774040699,0.0034993488807231188,0.173095703125,1.0,1.0,0.04666224122047424,1.0
DeepSeek-R1-1.5b,hqq,bfloat16,0.6672382950782776,0.6688523888587952,1378.4606,0.9972571730613708,0.7115071614583334,0.5515543818473816,0.4142659604549408,0.1739908903837204,0.0514729805290699,0.0029703776817768812,0.1739501953125,0.0,1.0,0.04536796733736992,1.0
