BaseFeatureIdx,GeometricSim,FunctionalJaccard
0,0.907173,0.40016433853738703
1,0.7970917,0.19337016574585636
2,0.9827601,0.8724346076458752
3,0.9848749,0.5351851851851852
4,0.73010784,0.19868791002811623
5,0.6960516,0.15846599131693198
6,0.48061,0.7064183835182251
7,0.9346535,0.21703296703296704
8,0.8861715,0.18244069454634385
9,0.8912229,0.19130434782608696
10,0.8549099,0.32983193277310924
11,0.9967635,0.8033744321868916
12,0.9715176,0.6947368421052632
13,0.6245389,0.4863243761996161
14,0.9788607,0.8705244122965642
15,0.9428347,0.3342696629213483
16,0.7885935,0.4049153908138598
17,0.9490945,0.6761464628510487
18,0.7269267,0.021723896285914507
19,0.86672825,0.5053204067155356
20,0.9764547,0.7786780383795309
21,0.81264424,0.23284823284823286
22,0.74165654,0.2144026186579378
23,0.9754347,0.479498861047836
24,0.9870771,0.46218487394957986
25,0.95709574,0.47846332945285214
26,0.9235402,0.49276495893625344
27,0.90826035,0.549279864445072
28,0.9907262,0.465564738292011
29,0.96283174,0.8158613158613158
30,0.82455593,0.2731864095500459
31,0.9670333,0.25757575757575757
32,0.7684508,0.4094616639477977
33,0.84788525,0.16462028194633924
34,0.7700123,0.6531033189574348
35,0.8513812,0.4830142063001853
36,0.8063282,0.0
37,0.91370046,0.38400702987697716
38,0.9931856,0.7058575642646439
39,0.88530946,0.6156245127085608
40,0.77799016,0.2164343360234776
41,0.9766952,0.661705781339439
42,0.76424354,0.08894536213468869
43,0.8002509,0.07659574468085106
44,0.97326016,0.5832475111568829
45,0.9521649,0.5533854166666666
46,0.9924455,0.5963687150837989
47,0.76641864,0.05555555555555555
48,0.86340994,0.14605296991514527
49,0.6401364,0.0
50,0.97682184,0.6971428571428572
51,0.972473,0.47033158813263526
52,0.97650284,0.5649895178197065
53,0.7496276,0.3060836501901141
54,0.71328604,0.05806451612903226
55,0.5226699,0.2948990435706695
56,0.9148017,0.1737766624843162
57,0.9953762,0.8515901060070671
58,0.9316386,0.5531508593252705
59,0.8137818,0.24990035870864885
60,0.65644234,0.09900990099009901
61,0.9713129,0.17269964078474717
62,0.9605558,0.6044198895027625
63,0.9914065,0.5398773006134969
64,0.7462812,0.22687224669603523
65,0.9666679,0.33037037037037037
66,0.87654495,0.7301059958867268
67,0.5884887,0.28349120433017594
68,0.98241884,0.6271409749670619
69,0.89430386,0.18096906012842964
70,0.9497239,0.5510610079575596
71,0.93762237,0.6211786952410967
72,0.9845856,0.33676975945017185
73,0.8877888,0.2739244951712028
74,0.94590205,0.4314397649363369
75,0.9344889,0.5597269624573379
76,0.83100325,0.22797927461139897
77,0.9651184,0.6710013003901171
78,0.9491418,0.36995515695067266
79,0.9846732,0.7120418848167539
80,0.92143303,0.5296025952960259
81,0.9742,0.5467065868263473
82,0.9735691,0.5475910693301997
83,0.9924534,0.7417607223476298
84,0.96503925,0.4518147684605757
85,0.85500723,0.2421135646687697
86,0.9181944,0.3224691358024691
87,0.7679259,0.21022727272727273
88,0.9911582,0.7340050377833753
89,0.61987793,0.09765142150803462
90,0.8537483,0.17063408468506425
91,0.73907226,0.22962962962962963
92,0.8902905,0.15340429126541646
93,0.97877526,0.7450487268154669
94,0.8314077,0.30303030303030304
95,0.9865373,0.686771761480466
96,0.95246565,0.4543726235741445
97,0.9745132,0.6193406593406593
98,0.9300464,0.1699429296131896
99,0.982168,0.6998587570621468
100,0.7948727,0.2553035844915874
101,0.5210763,0.0
102,0.96223027,0.5117581187010078
103,0.7230101,0.3029397110114599
104,0.66882676,0.37433374333743336
105,0.7853494,0.29044117647058826
106,0.8690234,0.3449612403100775
107,0.7739623,0.1806674338319908
108,0.91893595,0.2925311203319502
109,0.9683892,0.3719806763285024
110,0.8251506,0.32
111,0.99091506,0.3890063424947146
