BaseFeatureIdx,GeometricSim,FunctionalJaccard
0,0.8830402,0.415
1,0.844888,0.19337016574585636
2,0.9028617,0.8093680491953421
3,0.8548147,0.28967254408060455
4,0.7215166,0.23623623623623624
5,0.6722221,0.1336405529953917
6,0.84147084,0.05643896976483763
7,0.9165516,0.1882716049382716
8,0.88389355,0.29354654483152487
9,0.8829595,0.2
10,0.99064183,0.7280898876404495
11,0.9966456,0.8177474402730376
12,0.9874553,0.7388949079089924
13,0.9175808,0.711965811965812
14,0.95200205,0.5289227571873918
15,0.99044853,0.49280575539568344
16,0.7645255,0.38382594417077176
17,0.8143738,0.48272017837235226
18,0.6230932,0.0036496350364963502
19,0.9226763,0.23252200932159503
20,0.9897503,0.818733738074588
21,0.975516,0.5106837606837606
22,0.9787921,0.4410112359550562
23,0.9808587,0.6300653594771242
24,0.9869202,0.301255230125523
25,0.95848864,0.3500347947112039
26,0.762691,0.1312664907651715
27,0.9411271,0.6084963325183375
28,0.8043921,0.5230024213075061
29,0.81659,0.7164750957854407
30,0.78963333,0.10743801652892562
31,0.96691996,0.38571428571428573
32,0.9721577,0.6664374140302614
33,0.9608704,0.42777287437481615
34,0.65872574,0.4406862745098039
35,0.88695234,0.5015105740181269
36,0.7966821,0.0
37,0.91390115,0.14827067669172933
38,0.9918666,0.7335279399499584
39,0.8785577,0.6164322059263694
40,0.9923685,0.44743845642049235
41,0.9705706,0.11295871559633028
42,0.7273586,0.12861736334405144
43,0.7371625,0.06683168316831684
44,0.9857244,0.30354309888947645
45,0.9669992,0.6188870151770658
46,0.99668854,0.726507713884993
47,0.9547144,0.2727272727272727
48,0.9074691,0.17290748898678415
49,0.9283655,0.0
50,0.9816025,0.7620361852192579
51,0.9882402,0.5899543378995433
52,0.98394185,0.573224043715847
53,0.5833157,0.23211169284467714
54,0.7946998,0.20670391061452514
55,0.96413994,0.6785714285714286
56,0.8035712,0.39172749391727496
57,0.9962542,0.810752688172043
58,0.9172979,0.4759679572763685
59,0.97668695,0.573397913561848
60,0.6542363,0.02127659574468085
61,0.940058,0.4200792602377807
62,0.98288184,0.6787293928427824
63,0.7661726,0.297029702970297
64,0.59637946,0.1934651762682717
65,0.9791038,0.35966149506346967
66,0.9500867,0.7819634703196348
67,0.64029914,0.15948777648428406
68,0.9838235,0.6306429548563611
69,0.9359642,0.24935448174105496
70,0.97744894,0.499113475177305
71,0.77962226,0.29509647725261107
72,0.98657876,0.49258160237388726
73,0.93469,0.39453125
74,0.9573183,0.5446358653093187
75,0.9829862,0.5917602996254682
76,0.9559514,0.507085020242915
77,0.98477393,0.7132394366197183
78,0.9863234,0.4308093994778068
79,0.97899103,0.6779661016949152
80,0.92988664,0.4962178517397882
81,0.96674806,0.5767716535433071
82,0.9151394,0.4016506189821183
83,0.99513125,0.8313528336380256
84,0.625667,0.15984513274336284
85,0.8501621,0.32892561983471075
86,0.91265833,0.3755274261603376
87,0.8313553,0.2993421052631579
88,0.9974276,0.8910669280313638
89,0.8966697,0.2939346811819596
90,0.6969638,0.5628215767634854
91,0.6035484,0.192
92,0.7029821,0.16636851520572452
93,0.98743415,0.7421236872812136
94,0.758689,0.2914572864321608
95,0.9913615,0.6675567423230975
96,0.83473754,0.32653061224489793
97,0.97873104,0.7357271095152603
98,0.8077409,0.09144834404349975
99,0.92966306,0.3847962382445141
100,0.8762156,0.05325725154541132
101,0.56587154,0.041666666666666664
102,0.93006873,0.41713014460511677
103,0.7613122,0.37394771821001327
104,0.92800885,0.5964104924068109
105,0.7964674,0.22424242424242424
106,0.9386059,0.4822429906542056
107,0.78853095,0.06416926812348249
108,0.971413,0.47229551451187335
109,0.9733619,0.37727272727272726
110,0.79361486,0.32450331125827814
111,0.99474186,0.4388059701492537
112,0.83420193,0.6596189591078067
113,0.99072576,0.6802221781392581
114,0.5663264,0.5404858299595142
115,0.9759551,0.4746059544658494
116,0.86662716,0.3188720173535792
117,0.96671313,0.08907922912205568
118,0.92978615,0.47299077733860345
119,0.97913617,0.6418305597579426
120,0.9904847,0.4935064935064935
121,0.9119892,0.36860068259385664
122,0.7163598,0.5663056558363417
123,0.8994963,0.3223930740405737
124,0.888142,0.40801244651886426
125,0.99107033,0.6985294117647058
126,0.9639227,0.4777376654632972
127,0.9875861,0.8085106382978723
128,0.9686869,0.5736137667304015
129,0.7774901,0.03854059609455293
130,0.59853494,0.666331456154465
131,0.97843903,0.39501039501039503
132,0.9843996,0.7161943319838057
133,0.97978944,0.5490445859872611
134,0.92869073,0.5927189988623436
135,0.3779465,0.17828354670459934
136,0.9832897,0.5725699067909454
137,0.9662511,0.7682383298146845
138,0.94319373,0.48643410852713176
139,0.978916,0.7213114754098361
140,0.8712239,0.3030973451327434
141,0.9551024,0.34408602150537637
142,0.87629503,0.14175257731958762
143,0.9727161,0.0743914981145012
144,0.7368615,0.1803030303030303
145,0.8878743,0.465528146742568
146,0.7255277,0.13544303797468354
147,0.9628206,0.26174496644295303
148,0.9862716,0.9304579137374122
149,0.99396664,0.8523447401774398
150,0.95970637,0.7432922407541697
151,0.69679326,0.07156133828996282
152,0.94982845,0.535893918609968
153,0.878875,0.36258992805755397
154,0.9779405,0.3651266766020864
155,0.78140366,0.08305647840531562
156,0.85889643,0.16496350364963502
157,0.9792566,0.3881856540084388
158,0.9057116,0.4728979940247546
159,0.9836358,0.710801393728223
160,0.6113086,0.20036429872495445
161,0.9876453,0.488822652757079
162,0.59601915,0.14742014742014742
163,0.73510426,0.3040581465778316
164,0.70849943,0.17295597484276728
165,0.9954433,0.2985781990521327
166,0.89660054,0.5045395590142672
167,0.98992497,0.38306451612903225
168,0.98519987,0.9231871083258729
169,0.99436903,0.7369727047146402
170,0.8909217,0.18961625282167044
171,0.9472295,0.7258655804480652
172,0.9918559,0.45686900958466453
173,0.98965126,0.777832512315271
174,0.85874254,0.49301310043668123
175,0.91251045,0.2857142857142857
176,0.93043095,0.6258992805755396
177,0.99555534,0.8710691823899371
178,0.95916283,0.5763324299909666
179,0.84913784,0.40949344668792065
180,0.8996639,0.42954856361149113
181,0.71614707,0.39486498450641877
182,0.99601805,0.5909980430528375
183,0.89624435,0.393383613301337
184,0.6187703,0.12315930388219545
185,0.8249014,0.5568117580553985
186,0.99097764,0.3712374581939799
187,0.9888264,0.587378640776699
188,0.98646075,0.8341892883345561
189,0.88373625,0.28270042194092826
190,0.9847397,0.7145640526059425
191,0.9715948,0.5857284440039643
192,0.988329,0.34285714285714286
193,0.46212655,0.4348122866894198
194,0.7609855,0.1419624217118998
195,0.9956851,0.1956521739130435
196,0.8093068,0.25831202046035806
197,0.7991448,0.34523809523809523
198,0.7671798,0.1762114537444934
199,0.71080434,0.09860583016476553
200,0.9978035,0.9287062277206961
201,0.55490464,0.058011049723756904
202,0.7854026,0.3362369337979094
203,0.9656642,0.6135211267605634
204,0.99002165,0.7978515625
205,0.9904514,0.46757679180887374
206,0.9871344,0.5797995373939862
207,0.693313,0.25912907635227495
208,0.9797674,0.16826824780208546
209,0.7850658,0.10944395410414828
210,0.9055056,0.4952330508474576
211,0.8440328,0.5377049180327869
212,0.8406548,0.8340537944284342
213,0.9403162,0.49418153607447635
214,0.977666,0.6659793814432989
215,0.913182,0.7711198428290766
216,0.74051094,0.6188594014680971
217,0.9766172,0.6550751879699248
218,0.82379514,0.16221069433359936
219,0.77598006,0.07779097387173396
220,0.48866278,0.1366622864651774
221,0.8559341,0.20689655172413793
222,0.69970274,0.018292682926829267
223,0.64898336,0.12488083889418494
224,0.9819081,0.7842435094001791
225,0.9719268,0.6304347826086957
226,0.6929212,0.2148082465085347
227,0.89798266,0.4
228,0.9025757,0.11552346570397112
229,0.59045213,0.11008137432188066
230,0.75550765,0.06846846846846846
231,0.9701433,0.5446082234290147
232,0.8623873,0.5804878048780487
233,0.98555213,0.23745173745173745
234,0.9798721,0.5993265993265994
235,0.97641385,0.4734042553191489
236,0.88657147,0.5406949071870538
237,0.80560094,0.11543624161073826
238,0.9048371,0.3025210084033613
239,0.99373657,0.710204081632653
240,0.92306215,0.11255411255411256
241,0.9584607,0.4677631578947368
242,0.65673566,0.12598425196850394
243,0.9068958,0.2655935613682093
244,0.9738272,0.5091083413231065
245,0.7318724,0.11070381231671554
246,0.9961442,0.8934348239771646
247,0.938392,0.39
248,0.9173387,0.35798816568047337
249,0.57931495,0.06294964028776978
250,0.9654245,0.2953929539295393
251,0.99508196,0.9731791025803991
252,0.99686426,0.8286577470867501
253,0.9144975,0.0583596214511041
254,0.50683385,0.20826061663758
255,0.92977655,0.4438990182328191
256,0.66029054,0.022641509433962263
257,0.9966526,0.8348402652200121
258,0.9404667,0.5994550408719346
259,0.9627182,0.7770120600541471
260,0.9973454,0.47979139504563234
261,0.98444897,0.5444444444444444
262,0.9018646,0.13742690058479531
263,0.98332584,0.8416910688140556
264,0.9899689,0.7061488673139159
265,0.8582951,0.4452466907340554
266,0.8038666,0.8210698434945106
267,0.9649444,0.3828125
268,0.7746337,0.10789049919484701
269,0.9939228,0.6069767441860465
270,0.9967752,0.785496648385131
271,0.97048354,0.6318252730109204
272,0.95740306,0.5550092194222496
