scope,layer,mean,std,low_entropy_frac,method
global,-1,0.1364826,0.19914647936820984,0.9908854166666666,bfloat16
layer,0,0.014798436,,1.0,bfloat16
layer,1,0.01860904,,1.0,bfloat16
layer,2,0.038857765,,1.0,bfloat16
layer,3,0.015963148,,1.0,bfloat16
layer,4,0.01780459,,1.0,bfloat16
layer,5,0.032782875,,1.0,bfloat16
layer,6,0.016684115,,1.0,bfloat16
layer,7,0.019676138,,1.0,bfloat16
layer,8,0.013063703,,1.0,bfloat16
layer,9,0.02811579,,1.0,bfloat16
layer,10,0.026681202,,1.0,bfloat16
layer,11,0.050522838,,1.0,bfloat16
layer,12,0.02698458,,1.0,bfloat16
layer,13,0.03598933,,1.0,bfloat16
layer,14,0.024100073,,1.0,bfloat16
layer,15,0.025176704,,1.0,bfloat16
layer,16,0.044605028,,1.0,bfloat16
layer,17,0.15294267,,1.0,bfloat16
layer,18,0.15134443,,1.0,bfloat16
layer,19,0.09673935,,1.0,bfloat16
layer,20,0.07090237,,1.0,bfloat16
layer,21,0.060534142,,1.0,bfloat16
layer,22,0.12192753,,1.0,bfloat16
layer,23,0.753766,,1.0,bfloat16
layer,24,0.20094644,,1.0,bfloat16
layer,25,0.1030528,,1.0,bfloat16
layer,26,0.12418422,,1.0,bfloat16
layer,27,0.16890019,,1.0,bfloat16
layer,28,0.15115258,,1.0,bfloat16
layer,29,0.95249337,,0.625,bfloat16
layer,30,0.1367549,,1.0,bfloat16
layer,31,0.08497741,,1.0,bfloat16
layer,32,0.104126796,,1.0,bfloat16
layer,33,0.1554157,,1.0,bfloat16
layer,34,0.10269262,,1.0,bfloat16
layer,35,0.38963038,,1.0,bfloat16
layer,36,0.07739476,,1.0,bfloat16
layer,37,0.07059487,,1.0,bfloat16
layer,38,0.09051989,,1.0,bfloat16
layer,39,0.081540965,,1.0,bfloat16
layer,40,0.075399786,,1.0,bfloat16
layer,41,0.77547497,,0.9375,bfloat16
layer,42,0.08500255,,1.0,bfloat16
layer,43,0.3128392,,1.0,bfloat16
layer,44,0.09552212,,1.0,bfloat16
layer,45,0.047957446,,1.0,bfloat16
layer,46,0.16151111,,1.0,bfloat16
layer,47,0.14450723,,1.0,bfloat16
global,-1,0.15587096,0.2390620857477188,0.97265625,awq
layer,0,0.016387217,,1.0,awq
layer,1,0.046913497,,1.0,awq
layer,2,0.031546853,,1.0,awq
layer,3,0.06454514,,1.0,awq
layer,4,0.013071647,,1.0,awq
layer,5,0.025942994,,1.0,awq
layer,6,0.013416188,,1.0,awq
layer,7,0.01996555,,1.0,awq
layer,8,0.011828322,,1.0,awq
layer,9,0.028753262,,1.0,awq
layer,10,0.02489109,,1.0,awq
layer,11,0.037805635,,1.0,awq
layer,12,0.034182224,,1.0,awq
layer,13,0.046031322,,1.0,awq
layer,14,0.023341227,,1.0,awq
layer,15,0.03371238,,1.0,awq
layer,16,0.067724235,,1.0,awq
layer,17,0.18779339,,1.0,awq
layer,18,0.13910547,,1.0,awq
layer,19,0.10971236,,1.0,awq
layer,20,0.096140295,,1.0,awq
layer,21,0.097504936,,1.0,awq
layer,22,0.14860983,,1.0,awq
layer,23,0.7747412,,0.875,awq
layer,24,0.17881417,,1.0,awq
layer,25,0.108786955,,1.0,awq
layer,26,0.14995924,,1.0,awq
layer,27,0.18256465,,1.0,awq
layer,28,0.14530163,,1.0,awq
layer,29,0.9351547,,0.5625,awq
layer,30,0.12942511,,1.0,awq
layer,31,0.073800206,,1.0,awq
layer,32,0.106601395,,1.0,awq
layer,33,0.12136794,,1.0,awq
layer,34,0.12014681,,1.0,awq
layer,35,0.47547597,,1.0,awq
layer,36,0.10575166,,1.0,awq
layer,37,0.06712706,,1.0,awq
layer,38,0.114282906,,1.0,awq
layer,39,0.072551444,,1.0,awq
layer,40,0.07128832,,1.0,awq
layer,41,1.114287,,0.25,awq
layer,42,0.081927985,,1.0,awq
layer,43,0.34908134,,1.0,awq
layer,44,0.08956425,,1.0,awq
layer,45,0.05425343,,1.0,awq
layer,46,0.21212548,,1.0,awq
layer,47,0.32850024,,1.0,awq
global,-1,0.13976349,0.20977124571800232,0.9856770833333334,hqq
layer,0,0.013226806,,1.0,hqq
layer,1,0.019285673,,1.0,hqq
layer,2,0.041766383,,1.0,hqq
layer,3,0.016455736,,1.0,hqq
layer,4,0.017328784,,1.0,hqq
layer,5,0.03338564,,1.0,hqq
layer,6,0.018593028,,1.0,hqq
layer,7,0.019873112,,1.0,hqq
layer,8,0.014066383,,1.0,hqq
layer,9,0.029202426,,1.0,hqq
layer,10,0.027981889,,1.0,hqq
layer,11,0.04967653,,1.0,hqq
layer,12,0.028725997,,1.0,hqq
layer,13,0.03467039,,1.0,hqq
layer,14,0.020891562,,1.0,hqq
layer,15,0.024824081,,1.0,hqq
layer,16,0.04530569,,1.0,hqq
layer,17,0.14812596,,1.0,hqq
layer,18,0.16103071,,1.0,hqq
layer,19,0.097742476,,1.0,hqq
layer,20,0.07273123,,1.0,hqq
layer,21,0.063615106,,1.0,hqq
layer,22,0.12545256,,1.0,hqq
layer,23,0.7751484,,1.0,hqq
layer,24,0.20871595,,1.0,hqq
layer,25,0.10805326,,1.0,hqq
layer,26,0.11568171,,1.0,hqq
layer,27,0.18378076,,1.0,hqq
layer,28,0.1588512,,1.0,hqq
layer,29,1.0543054,,0.375,hqq
layer,30,0.14281997,,1.0,hqq
layer,31,0.08673154,,1.0,hqq
layer,32,0.10738678,,1.0,hqq
layer,33,0.14591393,,1.0,hqq
layer,34,0.10146371,,1.0,hqq
layer,35,0.41694057,,1.0,hqq
layer,36,0.07918522,,1.0,hqq
layer,37,0.06977911,,1.0,hqq
layer,38,0.09118571,,1.0,hqq
layer,39,0.0796371,,1.0,hqq
layer,40,0.07557589,,1.0,hqq
layer,41,0.76666236,,0.9375,hqq
layer,42,0.08038186,,1.0,hqq
layer,43,0.29964143,,1.0,hqq
layer,44,0.08251491,,1.0,hqq
layer,45,0.047503017,,1.0,hqq
layer,46,0.1596367,,1.0,hqq
layer,47,0.1471926,,1.0,hqq
global,-1,0.14083596,0.20446878671646118,0.9869791666666666,fp8
layer,0,0.015446959,,1.0,fp8
layer,1,0.018382803,,1.0,fp8
layer,2,0.03901474,,1.0,fp8
layer,3,0.016615927,,1.0,fp8
layer,4,0.016620383,,1.0,fp8
layer,5,0.033491477,,1.0,fp8
layer,6,0.018629823,,1.0,fp8
layer,7,0.018808367,,1.0,fp8
layer,8,0.0155155435,,1.0,fp8
layer,9,0.031371597,,1.0,fp8
layer,10,0.028392598,,1.0,fp8
layer,11,0.04890036,,1.0,fp8
layer,12,0.029623486,,1.0,fp8
layer,13,0.037470393,,1.0,fp8
layer,14,0.024806023,,1.0,fp8
layer,15,0.022822382,,1.0,fp8
layer,16,0.04494248,,1.0,fp8
layer,17,0.15475136,,1.0,fp8
layer,18,0.15375131,,1.0,fp8
