Layer,Mean_Abs_Diff,Max_Diff,Correlation
0,0.07582724839448929,5.1484375,0.9922770857810974
14,0.4896751940250397,48.0,0.9990170001983643
21,0.7715132832527161,64.0,0.9976888298988342
