scope,layer,mean,std,low_entropy_frac,method,model
layer,43,0.34908134,,1.0,awq,google_gemma-3-12b-it
layer,44,0.08956425,,1.0,awq,google_gemma-3-12b-it
layer,45,0.05425343,,1.0,awq,google_gemma-3-12b-it
layer,46,0.21212548,,1.0,awq,google_gemma-3-12b-it
layer,47,0.32850024,,1.0,awq,google_gemma-3-12b-it
global,-1,0.13976349,0.2097712457180023,0.9856770833333334,hqq,google_gemma-3-12b-it
layer,0,0.013226806,,1.0,hqq,google_gemma-3-12b-it
layer,1,0.019285673,,1.0,hqq,google_gemma-3-12b-it
layer,2,0.041766383,,1.0,hqq,google_gemma-3-12b-it
layer,3,0.016455736,,1.0,hqq,google_gemma-3-12b-it
layer,4,0.017328784,,1.0,hqq,google_gemma-3-12b-it
layer,5,0.03338564,,1.0,hqq,google_gemma-3-12b-it
layer,6,0.018593028,,1.0,hqq,google_gemma-3-12b-it
layer,7,0.019873112,,1.0,hqq,google_gemma-3-12b-it
layer,8,0.014066383,,1.0,hqq,google_gemma-3-12b-it
layer,9,0.029202426,,1.0,hqq,google_gemma-3-12b-it
layer,10,0.027981889,,1.0,hqq,google_gemma-3-12b-it
layer,11,0.04967653,,1.0,hqq,google_gemma-3-12b-it
layer,12,0.028725997,,1.0,hqq,google_gemma-3-12b-it
layer,13,0.03467039,,1.0,hqq,google_gemma-3-12b-it
layer,14,0.020891562,,1.0,hqq,google_gemma-3-12b-it
layer,15,0.024824081,,1.0,hqq,google_gemma-3-12b-it
layer,16,0.04530569,,1.0,hqq,google_gemma-3-12b-it
layer,17,0.14812596,,1.0,hqq,google_gemma-3-12b-it
layer,18,0.16103071,,1.0,hqq,google_gemma-3-12b-it
layer,19,0.097742476,,1.0,hqq,google_gemma-3-12b-it
layer,20,0.07273123,,1.0,hqq,google_gemma-3-12b-it
layer,21,0.063615106,,1.0,hqq,google_gemma-3-12b-it
layer,22,0.12545256,,1.0,hqq,google_gemma-3-12b-it
