layer,kl_mean,kl_std,method,model
26,0.0733878314495086,0.1084540262818336,hqq,deepseek-ai_DeepSeek-R1-Distill-Qwen-7B
27,0.0845593959093093,0.1785682439804077,hqq,deepseek-ai_DeepSeek-R1-Distill-Qwen-7B
0,0.00091803266,0.0006597079,fp8,Qwen_Qwen3-32B
1,0.0010504707,0.0008188656,fp8,Qwen_Qwen3-32B
2,0.0011906177,0.0010579893,fp8,Qwen_Qwen3-32B
3,0.0013253778,0.0011609269,fp8,Qwen_Qwen3-32B
4,0.0014225935,0.0013018536,fp8,Qwen_Qwen3-32B
5,0.0015542862,0.0013888251,fp8,Qwen_Qwen3-32B
6,0.0017501387,0.0015248656,fp8,Qwen_Qwen3-32B
7,0.002108622,0.0020401874,fp8,Qwen_Qwen3-32B
8,0.0020299628,0.0020499094,fp8,Qwen_Qwen3-32B
9,0.0018809049,0.0019476647,fp8,Qwen_Qwen3-32B
10,0.002107346,0.0021541815,fp8,Qwen_Qwen3-32B
11,0.002492035,0.0024327182,fp8,Qwen_Qwen3-32B
12,0.0026796083,0.0026851727,fp8,Qwen_Qwen3-32B
13,0.0027731156,0.0027698993,fp8,Qwen_Qwen3-32B
14,0.0027497665,0.0025930423,fp8,Qwen_Qwen3-32B
15,0.0028150342,0.0026237904,fp8,Qwen_Qwen3-32B
16,0.002814941,0.0024668563,fp8,Qwen_Qwen3-32B
17,0.0029698948,0.0025222101,fp8,Qwen_Qwen3-32B
18,0.003095856,0.0026225587,fp8,Qwen_Qwen3-32B
19,0.0032256532,0.0026168907,fp8,Qwen_Qwen3-32B
20,0.0033866125,0.0027942273,fp8,Qwen_Qwen3-32B
21,0.0034442921,0.0027958264,fp8,Qwen_Qwen3-32B
22,0.0037496714,0.0030573274,fp8,Qwen_Qwen3-32B
23,0.003912452,0.0032385578,fp8,Qwen_Qwen3-32B
24,0.0042079347,0.003480736,fp8,Qwen_Qwen3-32B
25,0.0044097947,0.0035613861,fp8,Qwen_Qwen3-32B
26,0.004763521,0.00409297,fp8,Qwen_Qwen3-32B
27,0.0049697002,0.0042067138,fp8,Qwen_Qwen3-32B
28,0.005303566,0.0047442266,fp8,Qwen_Qwen3-32B
29,0.0058380235,0.0077440785,fp8,Qwen_Qwen3-32B
30,0.006144581,0.00820904,fp8,Qwen_Qwen3-32B
31,0.0064063724,0.009238349,fp8,Qwen_Qwen3-32B
32,0.006309211,0.013647462,fp8,Qwen_Qwen3-32B
33,0.0061491327,0.00930445,fp8,Qwen_Qwen3-32B
34,0.006794903,0.008857097,fp8,Qwen_Qwen3-32B
35,0.00763779,0.009079584,fp8,Qwen_Qwen3-32B
36,0.008026114,0.008924563,fp8,Qwen_Qwen3-32B
37,0.008244677,0.010517951,fp8,Qwen_Qwen3-32B
38,0.008073816,0.011225967,fp8,Qwen_Qwen3-32B
39,0.008266211,0.011218321,fp8,Qwen_Qwen3-32B
40,0.008522024,0.010057782,fp8,Qwen_Qwen3-32B
41,0.008693769,0.010273825,fp8,Qwen_Qwen3-32B
42,0.009210068,0.009556555,fp8,Qwen_Qwen3-32B
43,0.010342182,0.023055684,fp8,Qwen_Qwen3-32B
44,0.010489246,0.018278128,fp8,Qwen_Qwen3-32B
45,0.012412123,0.033731494,fp8,Qwen_Qwen3-32B
46,0.012749491,0.031074619,fp8,Qwen_Qwen3-32B
47,0.0135260215,0.034617152,fp8,Qwen_Qwen3-32B
48,0.015965613,0.058542315,fp8,Qwen_Qwen3-32B
49,0.018095538,0.079368025,fp8,Qwen_Qwen3-32B
50,0.019166226,0.065543234,fp8,Qwen_Qwen3-32B
51,0.020290969,0.06768888,fp8,Qwen_Qwen3-32B
52,0.02314038,0.1202519,fp8,Qwen_Qwen3-32B
53,0.024739524,0.09215144,fp8,Qwen_Qwen3-32B
54,0.026965635,0.10463712,fp8,Qwen_Qwen3-32B
55,0.028247833,0.100161925,fp8,Qwen_Qwen3-32B
56,0.027641417,0.08783346,fp8,Qwen_Qwen3-32B
57,0.030315027,0.104077764,fp8,Qwen_Qwen3-32B
58,0.02985933,0.109619826,fp8,Qwen_Qwen3-32B
59,0.028822605,0.08477342,fp8,Qwen_Qwen3-32B
60,0.027879067,0.07649629,fp8,Qwen_Qwen3-32B
61,0.02334833,0.06965816,fp8,Qwen_Qwen3-32B
62,0.015923012,0.1256154,fp8,Qwen_Qwen3-32B
63,0.010125068,0.030740758,fp8,Qwen_Qwen3-32B
0,0.007197084,0.0062833535,int4,Qwen_Qwen3-32B
1,0.0082940515,0.0077717085,int4,Qwen_Qwen3-32B
2,0.009645614,0.009360526,int4,Qwen_Qwen3-32B
3,0.011951192,0.0115913395,int4,Qwen_Qwen3-32B
4,0.013143228,0.014796873,int4,Qwen_Qwen3-32B
5,0.015987137,0.017448654,int4,Qwen_Qwen3-32B
6,0.01796619,0.017276729,int4,Qwen_Qwen3-32B
7,0.021994505,0.021065928,int4,Qwen_Qwen3-32B
8,0.022653867,0.022514263,int4,Qwen_Qwen3-32B
9,0.020984383,0.02181449,int4,Qwen_Qwen3-32B
10,0.023158846,0.024263835,int4,Qwen_Qwen3-32B
11,0.026772317,0.026053602,int4,Qwen_Qwen3-32B
12,0.029271217,0.028835079,int4,Qwen_Qwen3-32B
13,0.030344484,0.030023534,int4,Qwen_Qwen3-32B
14,0.03166255,0.031732224,int4,Qwen_Qwen3-32B
15,0.031151038,0.030409377,int4,Qwen_Qwen3-32B
16,0.03154079,0.030418627,int4,Qwen_Qwen3-32B
17,0.032297496,0.030344049,int4,Qwen_Qwen3-32B
18,0.033675432,0.032085314,int4,Qwen_Qwen3-32B
19,0.034434885,0.030307125,int4,Qwen_Qwen3-32B
20,0.035684023,0.029415956,int4,Qwen_Qwen3-32B
21,0.03743366,0.0316914,int4,Qwen_Qwen3-32B
22,0.04024205,0.033831667,int4,Qwen_Qwen3-32B
23,0.042062752,0.03524891,int4,Qwen_Qwen3-32B
24,0.04442811,0.03588884,int4,Qwen_Qwen3-32B
25,0.04682702,0.038761746,int4,Qwen_Qwen3-32B
26,0.048988376,0.041205782,int4,Qwen_Qwen3-32B
27,0.05184837,0.04526304,int4,Qwen_Qwen3-32B
28,0.05593382,0.047000963,int4,Qwen_Qwen3-32B
29,0.058883987,0.06154687,int4,Qwen_Qwen3-32B
30,0.062612355,0.07022445,int4,Qwen_Qwen3-32B
31,0.068414554,0.115015835,int4,Qwen_Qwen3-32B
32,0.065838225,0.06587086,int4,Qwen_Qwen3-32B
33,0.06649553,0.06685243,int4,Qwen_Qwen3-32B
34,0.07128354,0.07285719,int4,Qwen_Qwen3-32B
35,0.07906121,0.071682185,int4,Qwen_Qwen3-32B
36,0.08195005,0.08137536,int4,Qwen_Qwen3-32B
37,0.08284614,0.104866795,int4,Qwen_Qwen3-32B
38,0.08631907,0.13506067,int4,Qwen_Qwen3-32B
39,0.084851,0.092060894,int4,Qwen_Qwen3-32B
40,0.08593123,0.08663347,int4,Qwen_Qwen3-32B
41,0.08777393,0.08738401,int4,Qwen_Qwen3-32B
42,0.09244335,0.097062506,int4,Qwen_Qwen3-32B
43,0.10301523,0.102749854,int4,Qwen_Qwen3-32B
44,0.10777555,0.099842474,int4,Qwen_Qwen3-32B
45,0.12034867,0.12752919,int4,Qwen_Qwen3-32B
46,0.12662072,0.13319162,int4,Qwen_Qwen3-32B
47,0.1284982,0.13780953,int4,Qwen_Qwen3-32B
48,0.1463055,0.17833589,int4,Qwen_Qwen3-32B
49,0.15616104,0.19468993,int4,Qwen_Qwen3-32B
50,0.17146748,0.22782546,int4,Qwen_Qwen3-32B
51,0.184,0.31257325,int4,Qwen_Qwen3-32B
52,0.20077418,0.361055,int4,Qwen_Qwen3-32B
53,0.2079402,0.35966042,int4,Qwen_Qwen3-32B
54,0.23544884,0.46830952,int4,Qwen_Qwen3-32B
55,0.25426632,0.5267909,int4,Qwen_Qwen3-32B
56,0.255667,0.5726806,int4,Qwen_Qwen3-32B
57,0.26572943,0.5535051,int4,Qwen_Qwen3-32B
58,0.2617254,0.51586205,int4,Qwen_Qwen3-32B
59,0.2713199,0.61112183,int4,Qwen_Qwen3-32B
60,0.2679845,0.5612879,int4,Qwen_Qwen3-32B
61,0.22189726,0.4270233,int4,Qwen_Qwen3-32B
62,0.14162175,0.40185407,int4,Qwen_Qwen3-32B
63,0.12316795,0.25220463,int4,Qwen_Qwen3-32B
0,8.519223e-06,4.7274796e-05,float16,Qwen_Qwen3-32B
1,8.234298e-05,0.00017310133,float16,Qwen_Qwen3-32B
2,0.00015098293,0.00021097896,float16,Qwen_Qwen3-32B
3,0.00019771542,0.00021740586,float16,Qwen_Qwen3-32B
4,0.0002402931,0.00022513089,float16,Qwen_Qwen3-32B
5,0.00027367476,0.00024732234,float16,Qwen_Qwen3-32B
6,0.00029295852,0.00024625185,float16,Qwen_Qwen3-32B
7,0.00030992232,0.00026490493,float16,Qwen_Qwen3-32B
8,0.00028919338,0.00025051885,float16,Qwen_Qwen3-32B
9,0.00028976012,0.00026273957,float16,Qwen_Qwen3-32B
10,0.00032838614,0.0002923823,float16,Qwen_Qwen3-32B
11,0.0003600123,0.00029635575,float16,Qwen_Qwen3-32B
12,0.00040205906,0.0003289093,float16,Qwen_Qwen3-32B
13,0.0004146473,0.0003390643,float16,Qwen_Qwen3-32B
14,0.00040692373,0.0003091746,float16,Qwen_Qwen3-32B
15,0.00041353013,0.00031672374,float16,Qwen_Qwen3-32B
16,0.00044639813,0.00033530637,float16,Qwen_Qwen3-32B
17,0.0004715504,0.0003544452,float16,Qwen_Qwen3-32B
18,0.00049317617,0.00036210005,float16,Qwen_Qwen3-32B
19,0.00051663927,0.00036832594,float16,Qwen_Qwen3-32B
20,0.00052644586,0.00037773533,float16,Qwen_Qwen3-32B
21,0.0005456589,0.0004044264,float16,Qwen_Qwen3-32B
22,0.0005565413,0.00040611005,float16,Qwen_Qwen3-32B
23,0.00059922267,0.0004278311,float16,Qwen_Qwen3-32B
24,0.00062471407,0.00047050643,float16,Qwen_Qwen3-32B
25,0.0006272147,0.00045627786,float16,Qwen_Qwen3-32B
26,0.00065857545,0.00048701357,float16,Qwen_Qwen3-32B
27,0.0006758819,0.00052208774,float16,Qwen_Qwen3-32B
28,0.0007058024,0.00054598844,float16,Qwen_Qwen3-32B
29,0.00072810845,0.0005564194,float16,Qwen_Qwen3-32B
30,0.0007731468,0.00063868973,float16,Qwen_Qwen3-32B
31,0.0008283142,0.0006999118,float16,Qwen_Qwen3-32B
32,0.00080176647,0.0006495146,float16,Qwen_Qwen3-32B
33,0.0007966459,0.0006391114,float16,Qwen_Qwen3-32B
34,0.0008330602,0.00065597234,float16,Qwen_Qwen3-32B
35,0.0008842566,0.0007121759,float16,Qwen_Qwen3-32B
36,0.00095117925,0.0008267587,float16,Qwen_Qwen3-32B
37,0.0009298852,0.00082140364,float16,Qwen_Qwen3-32B
38,0.0009424821,0.00085425907,float16,Qwen_Qwen3-32B
39,0.0009520926,0.0008906015,float16,Qwen_Qwen3-32B
40,0.0010043604,0.00090366806,float16,Qwen_Qwen3-32B
41,0.001020678,0.0008725433,float16,Qwen_Qwen3-32B
42,0.0010516982,0.00087111833,float16,Qwen_Qwen3-32B
43,0.0010877824,0.0009758215,float16,Qwen_Qwen3-32B
44,0.0010969143,0.0009438665,float16,Qwen_Qwen3-32B
45,0.00119572,0.0010284141,float16,Qwen_Qwen3-32B
46,0.0012406692,0.001400561,float16,Qwen_Qwen3-32B
47,0.001322121,0.0016672723,float16,Qwen_Qwen3-32B
48,0.0014520052,0.0021260905,float16,Qwen_Qwen3-32B
49,0.0015682722,0.0029565513,float16,Qwen_Qwen3-32B
50,0.0015791638,0.0020963878,float16,Qwen_Qwen3-32B
51,0.0017469482,0.0029626396,float16,Qwen_Qwen3-32B
52,0.0019698027,0.0037440222,float16,Qwen_Qwen3-32B
53,0.0020337398,0.0041087824,float16,Qwen_Qwen3-32B
54,0.0022907923,0.0067635467,float16,Qwen_Qwen3-32B
55,0.0023846796,0.005939333,float16,Qwen_Qwen3-32B
56,0.0026218316,0.009370084,float16,Qwen_Qwen3-32B
57,0.0027298708,0.00712621,float16,Qwen_Qwen3-32B
58,0.002721366,0.0073236567,float16,Qwen_Qwen3-32B
59,0.0027456908,0.008275583,float16,Qwen_Qwen3-32B
60,0.0025173856,0.006180792,float16,Qwen_Qwen3-32B
61,0.0019240375,0.003872471,float16,Qwen_Qwen3-32B
62,0.0012418911,0.002899855,float16,Qwen_Qwen3-32B
63,0.0011963772,0.002340716,float16,Qwen_Qwen3-32B
0,0.0004308922,0.00032748526,int8,Qwen_Qwen3-32B
1,0.0005042014,0.00035188594,int8,Qwen_Qwen3-32B
2,0.0005668448,0.0004176963,int8,Qwen_Qwen3-32B
3,0.00060859387,0.0004255936,int8,Qwen_Qwen3-32B
4,0.000615691,0.00039441907,int8,Qwen_Qwen3-32B
5,0.00070097495,0.0004846193,int8,Qwen_Qwen3-32B
6,0.0007825713,0.0005914578,int8,Qwen_Qwen3-32B
7,0.0008689822,0.0007102208,int8,Qwen_Qwen3-32B
8,0.00085921603,0.00070891937,int8,Qwen_Qwen3-32B
9,0.00083763094,0.00077028375,int8,Qwen_Qwen3-32B
10,0.0009148552,0.0007751135,int8,Qwen_Qwen3-32B
11,0.0010378786,0.00081542437,int8,Qwen_Qwen3-32B
12,0.001096342,0.00089430885,int8,Qwen_Qwen3-32B
13,0.0011573717,0.0009880768,int8,Qwen_Qwen3-32B
14,0.0011295232,0.0008936145,int8,Qwen_Qwen3-32B
15,0.0011791099,0.0009215922,int8,Qwen_Qwen3-32B
16,0.0012033461,0.0009541265,int8,Qwen_Qwen3-32B
17,0.0012443512,0.00092710333,int8,Qwen_Qwen3-32B
18,0.0012785073,0.0009712387,int8,Qwen_Qwen3-32B
19,0.0013728087,0.001014878,int8,Qwen_Qwen3-32B
20,0.00140409,0.001059977,int8,Qwen_Qwen3-32B
21,0.0014339634,0.0010939599,int8,Qwen_Qwen3-32B
22,0.001551152,0.0011694243,int8,Qwen_Qwen3-32B
23,0.0016372632,0.001283297,int8,Qwen_Qwen3-32B
24,0.00171089,0.0014862005,int8,Qwen_Qwen3-32B
25,0.001762182,0.0015917491,int8,Qwen_Qwen3-32B
26,0.00186362,0.0015858026,int8,Qwen_Qwen3-32B
27,0.0018633978,0.0015174629,int8,Qwen_Qwen3-32B
28,0.0019843366,0.0017139775,int8,Qwen_Qwen3-32B
29,0.0020942544,0.0018180279,int8,Qwen_Qwen3-32B
30,0.0022753675,0.0024046504,int8,Qwen_Qwen3-32B
31,0.0024127525,0.0024777867,int8,Qwen_Qwen3-32B
32,0.0023337896,0.00231001,int8,Qwen_Qwen3-32B
33,0.002290524,0.002260199,int8,Qwen_Qwen3-32B
34,0.0024351387,0.0025232048,int8,Qwen_Qwen3-32B
35,0.002697086,0.002512042,int8,Qwen_Qwen3-32B
36,0.0028566106,0.0027195495,int8,Qwen_Qwen3-32B
37,0.0027290096,0.0023684525,int8,Qwen_Qwen3-32B
38,0.002889359,0.0030655025,int8,Qwen_Qwen3-32B
39,0.002900184,0.0033907695,int8,Qwen_Qwen3-32B
40,0.0029072233,0.0033181976,int8,Qwen_Qwen3-32B
41,0.0028745679,0.0027576534,int8,Qwen_Qwen3-32B
42,0.0031758533,0.003519912,int8,Qwen_Qwen3-32B
43,0.0033880277,0.0033425838,int8,Qwen_Qwen3-32B
44,0.0035908625,0.0035852287,int8,Qwen_Qwen3-32B
45,0.004002615,0.005359154,int8,Qwen_Qwen3-32B
46,0.004292537,0.005209,int8,Qwen_Qwen3-32B
47,0.0044049765,0.00673671,int8,Qwen_Qwen3-32B
48,0.005022807,0.013973009,int8,Qwen_Qwen3-32B
49,0.0054944847,0.014978975,int8,Qwen_Qwen3-32B
50,0.006116113,0.023654323,int8,Qwen_Qwen3-32B
51,0.0071921544,0.045829568,int8,Qwen_Qwen3-32B
52,0.007564452,0.03477326,int8,Qwen_Qwen3-32B
53,0.009048092,0.08894825,int8,Qwen_Qwen3-32B
54,0.009823697,0.072151475,int8,Qwen_Qwen3-32B
55,0.009481034,0.046775896,int8,Qwen_Qwen3-32B
56,0.009495008,0.030156886,int8,Qwen_Qwen3-32B
57,0.01033511,0.056706034,int8,Qwen_Qwen3-32B
58,0.011530481,0.09290394,int8,Qwen_Qwen3-32B
59,0.011719733,0.09994794,int8,Qwen_Qwen3-32B
60,0.010374512,0.04610565,int8,Qwen_Qwen3-32B
61,0.0084869955,0.039095744,int8,Qwen_Qwen3-32B
62,0.0048936787,0.0124014355,int8,Qwen_Qwen3-32B
63,0.0036735628,0.0072330926,int8,Qwen_Qwen3-32B
0,0.14253318,0.24805354,hqq,google_gemma-3-1b-it
1,0.12670772,0.23282094,hqq,google_gemma-3-1b-it
2,0.12931004,0.24298248,hqq,google_gemma-3-1b-it
3,0.09180224,0.13555072,hqq,google_gemma-3-1b-it
4,0.074403025,0.09745717,hqq,google_gemma-3-1b-it
5,0.066134766,0.08800123,hqq,google_gemma-3-1b-it
6,0.07184588,0.100360885,hqq,google_gemma-3-1b-it
7,0.07220566,0.1095494,hqq,google_gemma-3-1b-it
8,0.04676625,0.0719339,hqq,google_gemma-3-1b-it
9,0.04788233,0.07839257,hqq,google_gemma-3-1b-it
10,0.04681454,0.07409999,hqq,google_gemma-3-1b-it
11,0.058024865,0.08881638,hqq,google_gemma-3-1b-it
12,0.06699353,0.10702401,hqq,google_gemma-3-1b-it
13,0.08256044,0.119384244,hqq,google_gemma-3-1b-it
14,0.09017628,0.13145757,hqq,google_gemma-3-1b-it
15,0.10928528,0.17093182,hqq,google_gemma-3-1b-it
16,0.1718777,0.2970731,hqq,google_gemma-3-1b-it
17,0.26982144,0.52763194,hqq,google_gemma-3-1b-it
18,0.308101,0.6188891,hqq,google_gemma-3-1b-it
19,0.2763368,0.60860986,hqq,google_gemma-3-1b-it
20,0.28960615,0.6353353,hqq,google_gemma-3-1b-it
21,0.2752727,0.5976591,hqq,google_gemma-3-1b-it
22,0.25345314,0.54136246,hqq,google_gemma-3-1b-it
23,0.25999385,0.5923749,hqq,google_gemma-3-1b-it
24,0.21767163,0.4330378,hqq,google_gemma-3-1b-it
25,0.241839,0.5054279,hqq,google_gemma-3-1b-it
0,0.013986748,0.024356317,fp8,google_gemma-3-1b-it
1,0.013554504,0.024753977,fp8,google_gemma-3-1b-it
2,0.013695512,0.026615096,fp8,google_gemma-3-1b-it
3,0.008380624,0.012423921,fp8,google_gemma-3-1b-it
4,0.006525132,0.008680821,fp8,google_gemma-3-1b-it
5,0.005773702,0.009527198,fp8,google_gemma-3-1b-it
6,0.005915306,0.010925761,fp8,google_gemma-3-1b-it
7,0.005439375,0.00867834,fp8,google_gemma-3-1b-it
8,0.003696594,0.008024677,fp8,google_gemma-3-1b-it
9,0.0041316166,0.01711538,fp8,google_gemma-3-1b-it
10,0.0041197496,0.0114671085,fp8,google_gemma-3-1b-it
11,0.005327642,0.016107712,fp8,google_gemma-3-1b-it
12,0.0061078356,0.017808272,fp8,google_gemma-3-1b-it
13,0.0075148484,0.018035216,fp8,google_gemma-3-1b-it
14,0.008144049,0.016742088,fp8,google_gemma-3-1b-it
15,0.010558921,0.032700334,fp8,google_gemma-3-1b-it
16,0.017510045,0.05314562,fp8,google_gemma-3-1b-it
17,0.029036129,0.098764636,fp8,google_gemma-3-1b-it
18,0.030181408,0.09018649,fp8,google_gemma-3-1b-it
19,0.025794862,0.07056953,fp8,google_gemma-3-1b-it
20,0.02704095,0.07260224,fp8,google_gemma-3-1b-it
21,0.025650356,0.07371668,fp8,google_gemma-3-1b-it
22,0.023893762,0.06666878,fp8,google_gemma-3-1b-it
23,0.024503034,0.068063386,fp8,google_gemma-3-1b-it
24,0.020524958,0.05227885,fp8,google_gemma-3-1b-it
25,0.025833955,0.08564493,fp8,google_gemma-3-1b-it
0,0.10667549,0.20790188,int4,google_gemma-3-1b-it
1,0.10714339,0.20961788,int4,google_gemma-3-1b-it
2,0.10775842,0.21213612,int4,google_gemma-3-1b-it
3,0.08523099,0.13277842,int4,google_gemma-3-1b-it
4,0.068271935,0.10142198,int4,google_gemma-3-1b-it
5,0.06284931,0.08688237,int4,google_gemma-3-1b-it
6,0.0689439,0.102860466,int4,google_gemma-3-1b-it
7,0.06848416,0.101419285,int4,google_gemma-3-1b-it
8,0.0420783,0.07116924,int4,google_gemma-3-1b-it
9,0.04290297,0.073176466,int4,google_gemma-3-1b-it
10,0.042766087,0.07816974,int4,google_gemma-3-1b-it
11,0.052283376,0.103375554,int4,google_gemma-3-1b-it
12,0.06096714,0.12726824,int4,google_gemma-3-1b-it
13,0.07411674,0.124093495,int4,google_gemma-3-1b-it
14,0.07930274,0.1223113,int4,google_gemma-3-1b-it
15,0.10222867,0.1752523,int4,google_gemma-3-1b-it
16,0.16082531,0.2982164,int4,google_gemma-3-1b-it
17,0.25021902,0.53050613,int4,google_gemma-3-1b-it
18,0.2707363,0.56352407,int4,google_gemma-3-1b-it
19,0.24484655,0.5768988,int4,google_gemma-3-1b-it
20,0.24283578,0.5210058,int4,google_gemma-3-1b-it
21,0.23236829,0.4836628,int4,google_gemma-3-1b-it
22,0.21772389,0.4558911,int4,google_gemma-3-1b-it
23,0.22823553,0.52844006,int4,google_gemma-3-1b-it
24,0.18797584,0.38406375,int4,google_gemma-3-1b-it
25,0.22408235,0.51637375,int4,google_gemma-3-1b-it
0,7.1538864e-08,1.6671363e-06,float16,google_gemma-3-1b-it
1,0.00012593892,0.00085727917,float16,google_gemma-3-1b-it
2,0.0005632065,0.0019696993,float16,google_gemma-3-1b-it
3,0.00053758064,0.0012272365,float16,google_gemma-3-1b-it
4,0.00050666375,0.0008725124,float16,google_gemma-3-1b-it
5,0.00047907364,0.0006792634,float16,google_gemma-3-1b-it
6,0.00043407077,0.000463495,float16,google_gemma-3-1b-it
7,0.00041289104,0.00043349963,float16,google_gemma-3-1b-it
8,0.00022253863,0.00022575198,float16,google_gemma-3-1b-it
9,0.0002052345,0.0002737301,float16,google_gemma-3-1b-it
10,0.00020693612,0.00036786692,float16,google_gemma-3-1b-it
11,0.00024324955,0.00040059412,float16,google_gemma-3-1b-it
12,0.00029154491,0.00062162825,float16,google_gemma-3-1b-it
13,0.00037007802,0.0010349391,float16,google_gemma-3-1b-it
14,0.00039811697,0.0010657959,float16,google_gemma-3-1b-it
15,0.00046047274,0.00061047473,float16,google_gemma-3-1b-it
16,0.0006439967,0.001413113,float16,google_gemma-3-1b-it
17,0.0011611714,0.005837205,float16,google_gemma-3-1b-it
18,0.0011375926,0.0023891134,float16,google_gemma-3-1b-it
19,0.001000932,0.0016779578,float16,google_gemma-3-1b-it
20,0.0010044585,0.0018192816,float16,google_gemma-3-1b-it
21,0.0010144409,0.0023673503,float16,google_gemma-3-1b-it
22,0.0009319875,0.002680527,float16,google_gemma-3-1b-it
23,0.00093546644,0.0019863104,float16,google_gemma-3-1b-it
24,0.00082243094,0.0016600022,float16,google_gemma-3-1b-it
25,0.0010127496,0.0026988809,float16,google_gemma-3-1b-it
0,0.004419112,0.007318429,int8,google_gemma-3-1b-it
1,0.0046212752,0.007932771,int8,google_gemma-3-1b-it
2,0.004361281,0.0068183593,int8,google_gemma-3-1b-it
3,0.0028456154,0.003591127,int8,google_gemma-3-1b-it
4,0.002218175,0.0027099464,int8,google_gemma-3-1b-it
5,0.0019136105,0.0022968731,int8,google_gemma-3-1b-it
6,0.0018850081,0.00222891,int8,google_gemma-3-1b-it
7,0.001702667,0.0021189565,int8,google_gemma-3-1b-it
8,0.001035668,0.0013882476,int8,google_gemma-3-1b-it
9,0.0010330272,0.0020080796,int8,google_gemma-3-1b-it
10,0.0011035972,0.0022038554,int8,google_gemma-3-1b-it
11,0.0013799446,0.0031948683,int8,google_gemma-3-1b-it
12,0.0016539418,0.0038136023,int8,google_gemma-3-1b-it
13,0.0019096936,0.00405929,int8,google_gemma-3-1b-it
14,0.002047688,0.0039030255,int8,google_gemma-3-1b-it
15,0.0024961636,0.0048835054,int8,google_gemma-3-1b-it
16,0.00430446,0.0089852195,int8,google_gemma-3-1b-it
17,0.0072125685,0.021424802,int8,google_gemma-3-1b-it
18,0.008030663,0.02972876,int8,google_gemma-3-1b-it
19,0.006892105,0.02166789,int8,google_gemma-3-1b-it
20,0.006866065,0.019345243,int8,google_gemma-3-1b-it
21,0.0066790534,0.021810135,int8,google_gemma-3-1b-it
22,0.006323514,0.020973325,int8,google_gemma-3-1b-it
23,0.006362886,0.022186188,int8,google_gemma-3-1b-it
24,0.0053166184,0.016328415,int8,google_gemma-3-1b-it
25,0.00645996,0.025170268,int8,google_gemma-3-1b-it
0,0.13248676,0.27450562,gptq,google_gemma-3-1b-it
1,0.1382222,0.2850522,gptq,google_gemma-3-1b-it
2,0.13021691,0.269866,gptq,google_gemma-3-1b-it
3,0.10430379,0.1917002,gptq,google_gemma-3-1b-it
4,0.07963515,0.13419567,gptq,google_gemma-3-1b-it
5,0.07948829,0.13585044,gptq,google_gemma-3-1b-it
6,0.08354188,0.13606551,gptq,google_gemma-3-1b-it
7,0.07768834,0.14362337,gptq,google_gemma-3-1b-it
8,0.049953084,0.07941611,gptq,google_gemma-3-1b-it
9,0.051668297,0.09427365,gptq,google_gemma-3-1b-it
10,0.048933033,0.08429997,gptq,google_gemma-3-1b-it
11,0.062286556,0.123208545,gptq,google_gemma-3-1b-it
12,0.06960029,0.13506262,gptq,google_gemma-3-1b-it
13,0.08235011,0.13542156,gptq,google_gemma-3-1b-it
14,0.086051434,0.13634486,gptq,google_gemma-3-1b-it
15,0.10614302,0.15823305,gptq,google_gemma-3-1b-it
16,0.16549484,0.27386647,gptq,google_gemma-3-1b-it
17,0.25775397,0.48416552,gptq,google_gemma-3-1b-it
18,0.2796723,0.5283034,gptq,google_gemma-3-1b-it
19,0.25234497,0.47038135,gptq,google_gemma-3-1b-it
20,0.26622486,0.4882791,gptq,google_gemma-3-1b-it
21,0.2572815,0.5010369,gptq,google_gemma-3-1b-it
22,0.24214926,0.5107325,gptq,google_gemma-3-1b-it
23,0.25339332,0.64504105,gptq,google_gemma-3-1b-it
24,0.21487376,0.49886015,gptq,google_gemma-3-1b-it
25,0.2493486,0.54061395,gptq,google_gemma-3-1b-it
0,5.599970817565918,5.935726642608643,awq,google_gemma-3-1b-it
1,6.06900691986084,6.14345645904541,awq,google_gemma-3-1b-it
2,5.854916572570801,5.863351345062256,awq,google_gemma-3-1b-it
3,4.627083778381348,3.954510927200317,awq,google_gemma-3-1b-it
4,3.823331356048584,3.102525472640991,awq,google_gemma-3-1b-it
5,2.1783103942871094,1.6158249378204346,awq,google_gemma-3-1b-it
6,2.084951162338257,1.5340511798858645,awq,google_gemma-3-1b-it
7,1.1659905910491943,0.8586223721504211,awq,google_gemma-3-1b-it
8,0.7035315036773682,0.4940577149391174,awq,google_gemma-3-1b-it
9,0.6266047358512878,0.4141173362731933,awq,google_gemma-3-1b-it
10,0.6374148726463318,0.4306642413139343,awq,google_gemma-3-1b-it
11,0.9286199808120728,0.6494444608688354,awq,google_gemma-3-1b-it
12,0.915810763835907,0.6671026349067688,awq,google_gemma-3-1b-it
13,1.079816460609436,0.7676212787628174,awq,google_gemma-3-1b-it
14,1.1860898733139038,0.8805109858512878,awq,google_gemma-3-1b-it
15,1.3619725704193115,0.9156331419944764,awq,google_gemma-3-1b-it
16,2.315657138824463,1.614011287689209,awq,google_gemma-3-1b-it
17,2.5159006118774414,1.6143122911453247,awq,google_gemma-3-1b-it
18,2.4658291339874268,1.6140364408493042,awq,google_gemma-3-1b-it
19,2.73970365524292,1.8136513233184812,awq,google_gemma-3-1b-it
20,2.9468884468078613,1.9612857103347776,awq,google_gemma-3-1b-it
21,3.319584846496582,2.21772575378418,awq,google_gemma-3-1b-it
