layer,kl_mean,kl_std,method,model
12,18.074411,3.9967597,fp8,google_gemma-3-12b-it
13,18.243479,3.7046661,fp8,google_gemma-3-12b-it
14,17.914549,4.0075746,fp8,google_gemma-3-12b-it
15,17.6695,4.364958,fp8,google_gemma-3-12b-it
16,17.293562,4.6189647,fp8,google_gemma-3-12b-it
17,16.987665,4.755114,fp8,google_gemma-3-12b-it
18,16.618025,4.816596,fp8,google_gemma-3-12b-it
19,16.56663,4.636623,fp8,google_gemma-3-12b-it
20,16.226852,4.710898,fp8,google_gemma-3-12b-it
21,15.706807,4.718767,fp8,google_gemma-3-12b-it
22,14.8934555,5.0175886,fp8,google_gemma-3-12b-it
23,13.194671,5.4601927,fp8,google_gemma-3-12b-it
24,12.705952,5.185268,fp8,google_gemma-3-12b-it
25,12.248736,5.1195464,fp8,google_gemma-3-12b-it
26,11.59216,4.859468,fp8,google_gemma-3-12b-it
27,11.241286,4.882401,fp8,google_gemma-3-12b-it
28,11.152872,5.075074,fp8,google_gemma-3-12b-it
29,11.216774,4.86444,fp8,google_gemma-3-12b-it
30,11.414783,4.8239346,fp8,google_gemma-3-12b-it
31,11.2642975,4.735444,fp8,google_gemma-3-12b-it
32,10.698522,4.6841755,fp8,google_gemma-3-12b-it
33,10.422534,4.793482,fp8,google_gemma-3-12b-it
34,10.331696,4.814893,fp8,google_gemma-3-12b-it
35,10.038281,4.770378,fp8,google_gemma-3-12b-it
36,10.08604,4.7564535,fp8,google_gemma-3-12b-it
37,10.197063,4.8037376,fp8,google_gemma-3-12b-it
38,9.952786,4.7185755,fp8,google_gemma-3-12b-it
39,10.571893,4.7756,fp8,google_gemma-3-12b-it
40,10.143825,4.8035893,fp8,google_gemma-3-12b-it
41,10.371742,4.9918356,fp8,google_gemma-3-12b-it
42,10.248986,4.8911796,fp8,google_gemma-3-12b-it
43,10.101286,4.794676,fp8,google_gemma-3-12b-it
44,9.752738,4.9380927,fp8,google_gemma-3-12b-it
45,9.908779,4.9952807,fp8,google_gemma-3-12b-it
46,10.071744,5.066291,fp8,google_gemma-3-12b-it
47,10.516754,5.2490864,fp8,google_gemma-3-12b-it
0,20.166162,0.59195095,int4,google_gemma-3-12b-it
1,20.17908,0.6095415,int4,google_gemma-3-12b-it
2,20.14124,0.8091018,int4,google_gemma-3-12b-it
3,20.084806,0.8776723,int4,google_gemma-3-12b-it
4,20.09405,0.9304189,int4,google_gemma-3-12b-it
