scope,layer,mean,std,low_entropy_frac,method
global,-1,1.6965138,0.5026475191116333,0.04375,bfloat16
layer,0,1.8695065,,0.125,bfloat16
layer,1,2.490069,,0.05,bfloat16
layer,2,2.4704454,,0.05,bfloat16
layer,3,2.6997535,,0.0,bfloat16
layer,4,2.6853166,,0.0,bfloat16
layer,5,1.2691939,,0.05,bfloat16
layer,6,1.3482559,,0.1,bfloat16
layer,7,1.2568533,,0.15,bfloat16
layer,8,1.2526166,,0.25,bfloat16
layer,9,1.3963015,,0.1,bfloat16
layer,10,1.37938,,0.025,bfloat16
layer,11,1.3447493,,0.025,bfloat16
layer,12,1.3944525,,0.1,bfloat16
layer,13,1.4119698,,0.125,bfloat16
layer,14,1.4814694,,0.025,bfloat16
layer,15,1.5847977,,0.0,bfloat16
layer,16,1.6784719,,0.025,bfloat16
layer,17,1.649011,,0.075,bfloat16
layer,18,1.5716708,,0.1,bfloat16
layer,19,1.6435578,,0.075,bfloat16
layer,20,1.6303074,,0.05,bfloat16
layer,21,1.908926,,0.0,bfloat16
layer,22,1.8068626,,0.0,bfloat16
layer,23,1.8882599,,0.0,bfloat16
layer,24,1.825647,,0.0,bfloat16
layer,25,1.5863619,,0.1,bfloat16
layer,26,2.0343926,,0.0,bfloat16
layer,27,1.9022528,,0.025,bfloat16
layer,28,2.0410302,,0.025,bfloat16
layer,29,1.7693117,,0.025,bfloat16
layer,30,1.7543955,,0.0,bfloat16
layer,31,1.8879894,,0.0,bfloat16
layer,32,1.7271564,,0.0,bfloat16
layer,33,1.7443666,,0.0,bfloat16
layer,34,1.7555397,,0.0,bfloat16
layer,35,1.760915,,0.0,bfloat16
layer,36,1.5251567,,0.1,bfloat16
layer,37,1.3739147,,0.05,bfloat16
layer,38,1.3733034,,0.0,bfloat16
layer,39,1.4126786,,0.0,bfloat16
layer,40,1.4396346,,0.0,bfloat16
layer,41,1.3745167,,0.05,bfloat16
layer,42,1.4106886,,0.025,bfloat16
layer,43,1.3701118,,0.125,bfloat16
layer,44,1.6339557,,0.0,bfloat16
layer,45,1.6209275,,0.0,bfloat16
layer,46,1.702972,,0.075,bfloat16
layer,47,2.293239,,0.0,bfloat16
global,-1,1.6846602,0.5059971809387207,0.043229166666666666,awq
layer,0,1.8703121,,0.125,awq
layer,1,2.5004275,,0.05,awq
layer,2,2.4763985,,0.05,awq
layer,3,2.706019,,0.0,awq
layer,4,2.6899903,,0.0,awq
layer,5,1.2771995,,0.05,awq
layer,6,1.3448908,,0.1,awq
layer,7,1.2560394,,0.125,awq
layer,8,1.2507609,,0.225,awq
layer,9,1.3977439,,0.1,awq
layer,10,1.3767722,,0.05,awq
layer,11,1.3454548,,0.025,awq
layer,12,1.4000294,,0.1,awq
layer,13,1.4181668,,0.1,awq
layer,14,1.4811729,,0.025,awq
layer,15,1.5952936,,0.0,awq
layer,16,1.68184,,0.025,awq
layer,17,1.6566327,,0.05,awq
layer,18,1.5781945,,0.1,awq
layer,19,1.6512781,,0.075,awq
layer,20,1.6346947,,0.05,awq
layer,21,1.9068743,,0.0,awq
layer,22,1.8097321,,0.0,awq
layer,23,1.8805034,,0.0,awq
layer,24,1.8368915,,0.0,awq
layer,25,1.6078002,,0.1,awq
layer,26,2.0130973,,0.0,awq
layer,27,1.9058679,,0.025,awq
layer,28,2.0481648,,0.025,awq
layer,29,1.7717934,,0.025,awq
layer,30,1.7644567,,0.0,awq
layer,31,1.8741795,,0.0,awq
layer,32,1.703886,,0.0,awq
layer,33,1.7137665,,0.0,awq
layer,34,1.7237793,,0.0,awq
layer,35,1.7269399,,0.0,awq
layer,36,1.5058861,,0.1,awq
layer,37,1.3365742,,0.05,awq
layer,38,1.3395711,,0.025,awq
layer,39,1.3631696,,0.0,awq
layer,40,1.391118,,0.0,awq
layer,41,1.3248173,,0.05,awq
layer,42,1.3472478,,0.05,awq
layer,43,1.3244051,,0.125,awq
layer,44,1.5799799,,0.0,awq
layer,45,1.5683168,,0.0,awq
layer,46,1.6486933,,0.075,awq
layer,47,2.256869,,0.0,awq
global,-1,1.6895212,0.5062510371208191,0.04375,hqq
layer,0,1.8703392,,0.125,hqq
layer,1,2.494032,,0.05,hqq
layer,2,2.4737344,,0.05,hqq
layer,3,2.7124164,,0.0,hqq
layer,4,2.6998878,,0.0,hqq
layer,5,1.3019671,,0.05,hqq
layer,6,1.347303,,0.1,hqq
layer,7,1.24072,,0.175,hqq
layer,8,1.235945,,0.25,hqq
layer,9,1.3701595,,0.1,hqq
layer,10,1.3778214,,0.025,hqq
layer,11,1.3399264,,0.025,hqq
layer,12,1.3868688,,0.1,hqq
layer,13,1.4094489,,0.125,hqq
layer,14,1.4791031,,0.025,hqq
layer,15,1.5814524,,0.0,hqq
layer,16,1.6620941,,0.025,hqq
layer,17,1.6356976,,0.05,hqq
layer,18,1.5650313,,0.1,hqq
layer,19,1.6471784,,0.075,hqq
layer,20,1.6446327,,0.05,hqq
layer,21,1.9317261,,0.0,hqq
layer,22,1.7966354,,0.0,hqq
layer,23,1.8965762,,0.0,hqq
layer,24,1.8010519,,0.0,hqq
layer,25,1.6018419,,0.1,hqq
layer,26,2.0317721,,0.0,hqq
layer,27,1.9211594,,0.025,hqq
layer,28,2.0458097,,0.025,hqq
layer,29,1.7821417,,0.025,hqq
layer,30,1.7317938,,0.0,hqq
layer,31,1.9019327,,0.0,hqq
layer,32,1.7252954,,0.0,hqq
layer,33,1.7533939,,0.0,hqq
layer,34,1.7506062,,0.0,hqq
layer,35,1.7276512,,0.0,hqq
layer,36,1.5105965,,0.1,hqq
layer,37,1.3641524,,0.05,hqq
layer,38,1.3397636,,0.025,hqq
layer,39,1.3778588,,0.0,hqq
layer,40,1.4048836,,0.0,hqq
layer,41,1.3376102,,0.05,hqq
layer,42,1.3595338,,0.025,hqq
layer,43,1.3594433,,0.1,hqq
layer,44,1.6197052,,0.0,hqq
layer,45,1.615216,,0.0,hqq
layer,46,1.6675577,,0.075,hqq
layer,47,2.2655501,,0.0,hqq
global,-1,1.694931,0.5033826231956482,0.04375,fp8
layer,0,1.8699814,,0.125,fp8
layer,1,2.4896271,,0.05,fp8
layer,2,2.4710228,,0.05,fp8
layer,3,2.700806,,0.0,fp8
layer,4,2.6852474,,0.0,fp8
layer,5,1.2699019,,0.05,fp8
layer,6,1.3458235,,0.1,fp8
layer,7,1.25368,,0.15,fp8
layer,8,1.2502435,,0.25,fp8
layer,9,1.4024218,,0.1,fp8
layer,10,1.3717293,,0.05,fp8
layer,11,1.3497431,,0.025,fp8
layer,12,1.3904374,,0.1,fp8
layer,13,1.4201939,,0.125,fp8
layer,14,1.493758,,0.025,fp8
layer,15,1.5823752,,0.0,fp8
layer,16,1.6762594,,0.025,fp8
layer,17,1.6443031,,0.05,fp8
layer,18,1.5827888,,0.1,fp8
layer,19,1.6369812,,0.075,fp8
layer,20,1.626997,,0.05,fp8
layer,21,1.9174321,,0.0,fp8
layer,22,1.8028576,,0.0,fp8
layer,23,1.8845476,,0.0,fp8
layer,24,1.8174328,,0.0,fp8
layer,25,1.5800369,,0.1,fp8
layer,26,2.0315852,,0.0,fp8
layer,27,1.8958212,,0.025,fp8
layer,28,2.0269563,,0.025,fp8
layer,29,1.7649248,,0.025,fp8
layer,30,1.7517163,,0.0,fp8
layer,31,1.8829559,,0.0,fp8
layer,32,1.7254566,,0.0,fp8
layer,33,1.7493938,,0.0,fp8
layer,34,1.7611691,,0.0,fp8
layer,35,1.765295,,0.0,fp8
layer,36,1.523531,,0.1,fp8
layer,37,1.3815731,,0.05,fp8
layer,38,1.3675911,,0.0,fp8
layer,39,1.400841,,0.0,fp8
layer,40,1.4350086,,0.0,fp8
layer,41,1.363919,,0.05,fp8
layer,42,1.40192,,0.025,fp8
layer,43,1.373654,,0.125,fp8
layer,44,1.6203086,,0.0,fp8
layer,45,1.6156406,,0.0,fp8
layer,46,1.7085311,,0.075,fp8
layer,47,2.2922668,,0.0,fp8
global,-1,0.004372211,0.11699232459068298,0.9989583333333333,int4
layer,0,7.2476686e-10,,1.0,int4
layer,1,2.1765905e-05,,1.0,int4
layer,2,1.2742875e-05,,1.0,int4
layer,3,1.4327543e-06,,1.0,int4
layer,4,5.2385632e-05,,1.0,int4
layer,5,0.0915384,,0.975,int4
layer,6,0.0034327738,,1.0,int4
layer,7,0.0009233945,,1.0,int4
layer,8,0.0008897685,,1.0,int4
layer,9,0.00081594865,,1.0,int4
layer,10,0.0013402611,,1.0,int4
layer,11,0.0001246536,,1.0,int4
layer,12,0.0002104671,,1.0,int4
layer,13,0.0005477401,,1.0,int4
layer,14,0.0023551788,,1.0,int4
layer,15,0.00017648193,,1.0,int4
layer,16,0.00012919617,,1.0,int4
layer,17,0.0006408484,,1.0,int4
layer,18,0.0025427963,,1.0,int4
layer,19,0.0032893314,,1.0,int4
layer,20,0.09150837,,0.975,int4
layer,21,5.9410588e-05,,1.0,int4
layer,22,0.00029397765,,1.0,int4
layer,23,9.2269045e-05,,1.0,int4
layer,24,0.0032129753,,1.0,int4
layer,25,0.0005130726,,1.0,int4
layer,26,0.0003977308,,1.0,int4
layer,27,5.3725315e-05,,1.0,int4
layer,28,3.5719702e-05,,1.0,int4
layer,29,8.413552e-05,,1.0,int4
layer,30,5.6326615e-05,,1.0,int4
layer,31,7.824405e-06,,1.0,int4
layer,32,0.00012926233,,1.0,int4
layer,33,5.5788078e-05,,1.0,int4
layer,34,0.00035222416,,1.0,int4
layer,35,0.00013521864,,1.0,int4
layer,36,9.71105e-05,,1.0,int4
layer,37,0.0009246175,,1.0,int4
layer,38,3.1805055e-05,,1.0,int4
layer,39,6.227696e-05,,1.0,int4
layer,40,0.00028370327,,1.0,int4
layer,41,4.121999e-05,,1.0,int4
layer,42,0.0002428166,,1.0,int4
layer,43,0.00028722995,,1.0,int4
layer,44,0.00020711934,,1.0,int4
layer,45,0.00027423305,,1.0,int4
layer,46,0.0013760797,,1.0,int4
layer,47,4.333547e-06,,1.0,int4
global,-1,1.6964732,0.5026222467422485,0.04375,float16
layer,0,1.8695065,,0.125,float16
layer,1,2.4900684,,0.05,float16
layer,2,2.4704711,,0.05,float16
layer,3,2.6997876,,0.0,float16
layer,4,2.6853828,,0.0,float16
layer,5,1.2692047,,0.05,float16
layer,6,1.3483293,,0.1,float16
layer,7,1.2570043,,0.15,float16
layer,8,1.252617,,0.25,float16
layer,9,1.3963554,,0.1,float16
layer,10,1.3793108,,0.025,float16
layer,11,1.3448464,,0.025,float16
layer,12,1.3944767,,0.1,float16
layer,13,1.4119221,,0.125,float16
layer,14,1.4812663,,0.025,float16
layer,15,1.5851285,,0.0,float16
layer,16,1.6787113,,0.025,float16
layer,17,1.6490736,,0.075,float16
layer,18,1.5715584,,0.1,float16
layer,19,1.6434368,,0.075,float16
layer,20,1.6300108,,0.05,float16
layer,21,1.9089941,,0.0,float16
layer,22,1.8065058,,0.0,float16
layer,23,1.8882856,,0.0,float16
layer,24,1.8257831,,0.0,float16
layer,25,1.5868529,,0.1,float16
layer,26,2.0346212,,0.0,float16
layer,27,1.9023964,,0.025,float16
layer,28,2.0409677,,0.025,float16
layer,29,1.7689499,,0.025,float16
layer,30,1.7544972,,0.0,float16
layer,31,1.8877447,,0.0,float16
layer,32,1.726875,,0.0,float16
layer,33,1.7443304,,0.0,float16
layer,34,1.7558609,,0.0,float16
layer,35,1.7608694,,0.0,float16
layer,36,1.5249057,,0.1,float16
layer,37,1.3738406,,0.05,float16
layer,38,1.3734119,,0.0,float16
layer,39,1.4124761,,0.0,float16
layer,40,1.4394672,,0.0,float16
layer,41,1.3742204,,0.05,float16
layer,42,1.4107416,,0.025,float16
layer,43,1.3698292,,0.125,float16
layer,44,1.633783,,0.0,float16
layer,45,1.620562,,0.0,float16
layer,46,1.702375,,0.075,float16
layer,47,2.2930984,,0.0,float16
global,-1,0.19546312,0.4021291434764862,0.9645833333333333,int8
layer,0,0.10568552,,1.0,int8
layer,1,1.2855828,,0.225,int8
layer,2,0.3793351,,0.975,int8
layer,3,0.20467253,,1.0,int8
layer,4,0.18180493,,1.0,int8
layer,5,0.6943899,,0.9,int8
layer,6,0.5952665,,0.925,int8
layer,7,0.53763694,,0.9,int8
layer,8,0.40704936,,0.95,int8
layer,9,0.27040976,,0.95,int8
layer,10,0.23797509,,0.975,int8
layer,11,0.13714284,,1.0,int8
layer,12,0.14194486,,1.0,int8
layer,13,0.18363777,,1.0,int8
layer,14,0.15281779,,1.0,int8
layer,15,0.13194668,,1.0,int8
layer,16,0.18890245,,0.975,int8
layer,17,0.116626635,,1.0,int8
layer,18,0.1458348,,1.0,int8
layer,19,0.17080157,,1.0,int8
layer,20,0.6056811,,0.825,int8
layer,21,0.08677791,,1.0,int8
layer,22,0.18717924,,0.975,int8
layer,23,0.07835136,,1.0,int8
layer,24,0.12036586,,1.0,int8
layer,25,0.12319784,,1.0,int8
layer,26,0.0939023,,1.0,int8
layer,27,0.031139921,,1.0,int8
layer,28,0.056491993,,1.0,int8
layer,29,0.11698679,,1.0,int8
layer,30,0.0667123,,1.0,int8
layer,31,0.042902954,,1.0,int8
layer,32,0.084152445,,1.0,int8
layer,33,0.064542994,,1.0,int8
layer,34,0.09051541,,1.0,int8
layer,35,0.073145345,,1.0,int8
layer,36,0.08599361,,1.0,int8
layer,37,0.057243377,,1.0,int8
layer,38,0.060786784,,1.0,int8
layer,39,0.06643958,,1.0,int8
layer,40,0.10287221,,0.975,int8
layer,41,0.06619445,,1.0,int8
layer,42,0.06932064,,1.0,int8
layer,43,0.06631921,,1.0,int8
layer,44,0.24698405,,0.9,int8
layer,45,0.1127681,,0.975,int8
layer,46,0.22096515,,0.875,int8
layer,47,0.034832977,,1.0,int8
