layer,kl_mean,kl_std,method
25,0.0006272147,0.00045627786,float16
26,0.00065857545,0.00048701357,float16
27,0.0006758819,0.00052208774,float16
28,0.0007058024,0.00054598844,float16
29,0.00072810845,0.0005564194,float16
30,0.0007731468,0.00063868973,float16
31,0.0008283142,0.0006999118,float16
32,0.00080176647,0.0006495146,float16
33,0.0007966459,0.0006391114,float16
34,0.0008330602,0.00065597234,float16
35,0.0008842566,0.0007121759,float16
36,0.00095117925,0.0008267587,float16
37,0.0009298852,0.00082140364,float16
38,0.0009424821,0.00085425907,float16
39,0.0009520926,0.0008906015,float16
40,0.0010043604,0.00090366806,float16
41,0.001020678,0.0008725433,float16
42,0.0010516982,0.00087111833,float16
43,0.0010877824,0.0009758215,float16
44,0.0010969143,0.0009438665,float16
45,0.00119572,0.0010284141,float16
46,0.0012406692,0.001400561,float16
47,0.001322121,0.0016672723,float16
48,0.0014520052,0.0021260905,float16
49,0.0015682722,0.0029565513,float16
50,0.0015791638,0.0020963878,float16
51,0.0017469482,0.0029626396,float16
52,0.0019698027,0.0037440222,float16
53,0.0020337398,0.0041087824,float16
54,0.0022907923,0.0067635467,float16
55,0.0023846796,0.005939333,float16
56,0.0026218316,0.009370084,float16
57,0.0027298708,0.00712621,float16
58,0.002721366,0.0073236567,float16
59,0.0027456908,0.008275583,float16
60,0.0025173856,0.006180792,float16
61,0.0019240375,0.003872471,float16
62,0.0012418911,0.002899855,float16
63,0.0011963772,0.002340716,float16
0,0.0004308922,0.00032748526,int8
1,0.0005042014,0.00035188594,int8
2,0.0005668448,0.0004176963,int8
3,0.00060859387,0.0004255936,int8
4,0.000615691,0.00039441907,int8
5,0.00070097495,0.0004846193,int8
6,0.0007825713,0.0005914578,int8
7,0.0008689822,0.0007102208,int8
8,0.00085921603,0.00070891937,int8
9,0.00083763094,0.00077028375,int8
10,0.0009148552,0.0007751135,int8
11,0.0010378786,0.00081542437,int8
12,0.001096342,0.00089430885,int8
13,0.0011573717,0.0009880768,int8
14,0.0011295232,0.0008936145,int8
15,0.0011791099,0.0009215922,int8
16,0.0012033461,0.0009541265,int8
17,0.0012443512,0.00092710333,int8
18,0.0012785073,0.0009712387,int8
19,0.0013728087,0.001014878,int8
20,0.00140409,0.001059977,int8
21,0.0014339634,0.0010939599,int8
22,0.001551152,0.0011694243,int8
23,0.0016372632,0.001283297,int8
24,0.00171089,0.0014862005,int8
25,0.001762182,0.0015917491,int8
26,0.00186362,0.0015858026,int8
27,0.0018633978,0.0015174629,int8
28,0.0019843366,0.0017139775,int8
29,0.0020942544,0.0018180279,int8
30,0.0022753675,0.0024046504,int8
31,0.0024127525,0.0024777867,int8
32,0.0023337896,0.00231001,int8
33,0.002290524,0.002260199,int8
34,0.0024351387,0.0025232048,int8
35,0.002697086,0.002512042,int8
36,0.0028566106,0.0027195495,int8
37,0.0027290096,0.0023684525,int8
38,0.002889359,0.0030655025,int8
39,0.002900184,0.0033907695,int8
40,0.0029072233,0.0033181976,int8
41,0.0028745679,0.0027576534,int8
42,0.0031758533,0.003519912,int8
43,0.0033880277,0.0033425838,int8
44,0.0035908625,0.0035852287,int8
45,0.004002615,0.005359154,int8
46,0.004292537,0.005209,int8
47,0.0044049765,0.00673671,int8
48,0.005022807,0.013973009,int8
49,0.0054944847,0.014978975,int8
50,0.006116113,0.023654323,int8
51,0.0071921544,0.045829568,int8
52,0.007564452,0.03477326,int8
