layer,kl_mean,kl_std,method
0,0.0019286975,0.001671089,fp8
1,0.002201355,0.0019068796,fp8
2,0.002723444,0.0023782852,fp8
3,0.003324497,0.0028677133,fp8
4,0.0035849903,0.0033539373,fp8
5,0.0035996141,0.0032850967,fp8
6,0.0043335813,0.0040180995,fp8
7,0.005782574,0.006397563,fp8
8,0.007376068,0.007820244,fp8
9,0.00831012,0.008134379,fp8
10,0.0085634375,0.008487331,fp8
11,0.009386804,0.00927097,fp8
12,0.009643496,0.010218511,fp8
13,0.0111024985,0.011471971,fp8
14,0.011848224,0.029709741,fp8
15,0.013338206,0.033237625,fp8
16,0.013557886,0.042057753,fp8
17,0.0145720355,0.0604506,fp8
18,0.014144234,0.019424185,fp8
19,0.014436255,0.023504438,fp8
20,0.014831936,0.01887043,fp8
21,0.015997905,0.02076362,fp8
22,0.01540459,0.028236339,fp8
23,0.015895,0.032598093,fp8
24,0.01599927,0.0449825,fp8
25,0.015822172,0.039334442,fp8
26,0.016685518,0.043897167,fp8
27,0.017100023,0.044964153,fp8
28,0.01839958,0.064308986,fp8
29,0.021573171,0.090758786,fp8
30,0.02166417,0.07116951,fp8
31,0.021643898,0.075764686,fp8
32,0.021518804,0.09399539,fp8
33,0.01848695,0.06563394,fp8
34,0.00954012,0.028321164,fp8
35,0.0073105088,0.027714824,fp8
0,0.017360589,0.0171177,int4
1,0.02264857,0.019298078,int4
2,0.03624601,0.028863726,int4
3,0.048096444,0.04135298,int4
4,0.054632667,0.047097456,int4
5,0.054742426,0.052090745,int4
6,0.066174656,0.05934053,int4
7,0.0831568,0.0746165,int4
8,0.1003468,0.089293286,int4
9,0.113146365,0.11030312,int4
10,0.11426208,0.11597855,int4
11,0.12022145,0.116711915,int4
12,0.12404565,0.12617838,int4
13,0.1329194,0.13737363,int4
14,0.13672511,0.15371756,int4
15,0.14540273,0.14920516,int4
16,0.14403167,0.15860166,int4
17,0.14788224,0.17524786,int4
18,0.1600338,0.17868789,int4
19,0.15892938,0.18184784,int4
20,0.16465345,0.18149143,int4
21,0.17953351,0.2289193,int4
22,0.16735396,0.2205175,int4
23,0.17455563,0.25187662,int4
24,0.1569219,0.2462039,int4
25,0.1647655,0.3189141,int4
26,0.1717559,0.36279348,int4
27,0.17312397,0.37349248,int4
28,0.19212937,0.42108086,int4
29,0.20407777,0.420226,int4
30,0.20678975,0.38369256,int4
31,0.20995693,0.40898684,int4
32,0.20584027,0.38439208,int4
33,0.18964873,0.38850537,int4
34,0.11649673,0.46644825,int4
35,0.084181875,0.22209653,int4
0,5.4587804e-06,5.694309e-05,float16
1,0.00012474143,0.00030957442,float16
2,0.00024023236,0.00037296157,float16
3,0.00031617656,0.00042205106,float16
4,0.0003272257,0.0003406658,float16
5,0.00033644272,0.00031142094,float16
6,0.0003915739,0.00034417267,float16
7,0.00048050753,0.00040577244,float16
8,0.00059253647,0.0005357697,float16
9,0.00066339865,0.000565962,float16
10,0.0007109679,0.00064871705,float16
11,0.00072866364,0.00065737835,float16
12,0.00076176244,0.0006801104,float16
13,0.0008119934,0.0007253144,float16
14,0.0008920634,0.0011628908,float16
15,0.00096990546,0.0025984985,float16
16,0.0010201631,0.0029624528,float16
17,0.001072237,0.0037048263,float16
18,0.001051736,0.0010771598,float16
19,0.0010781075,0.0013900052,float16
20,0.0011587426,0.0017482776,float16
21,0.0011771183,0.0013882895,float16
22,0.0011734997,0.0022574952,float16
23,0.0012491212,0.0020349605,float16
24,0.0011796685,0.0026063793,float16
25,0.0013115173,0.003757055,float16
26,0.0013110796,0.0040403623,float16
27,0.0013028018,0.0027337822,float16
28,0.0014423865,0.0040047206,float16
29,0.0015197978,0.004804583,float16
30,0.0016324546,0.004963698,float16
31,0.0016784032,0.0054394673,float16
32,0.0015620188,0.0041118143,float16
33,0.001427722,0.0058882996,float16
34,0.0007620599,0.0012686428,float16
35,0.0009585036,0.002433044,float16
0,0.0007240777,0.0007031869,int8
1,0.0009802363,0.00084162015,int8
2,0.00128383,0.0010011422,int8
3,0.0014978076,0.0012104951,int8
4,0.0014992452,0.0012406365,int8
5,0.0015918213,0.0014365815,int8
6,0.0018628091,0.0015357656,int8
7,0.0023928275,0.0020529032,int8
8,0.0028993958,0.0025457866,int8
9,0.0033414592,0.003601808,int8
10,0.0035987238,0.0044173277,int8
11,0.003498185,0.0033980028,int8
12,0.003727889,0.0038065005,int8
13,0.003944791,0.004483345,int8
14,0.0041485527,0.0066770003,int8
15,0.004399242,0.005899704,int8
16,0.0044963113,0.006661379,int8
17,0.0047974978,0.0075604343,int8
18,0.0052097933,0.00915575,int8
19,0.0051815733,0.008620387,int8
20,0.005820911,0.01825103,int8
21,0.0058651976,0.010951604,int8
22,0.005746069,0.014639381,int8
23,0.0059455177,0.012292508,int8
24,0.0055741547,0.01429309,int8
25,0.0054876674,0.010762816,int8
26,0.0058367853,0.018344553,int8
27,0.005684457,0.011278766,int8
28,0.006253927,0.013562868,int8
29,0.006634528,0.016547374,int8
30,0.0071222424,0.022834731,int8
31,0.0077312137,0.024052413,int8
32,0.00790718,0.02201954,int8
33,0.006603773,0.016585406,int8
34,0.004108871,0.01069992,int8
35,0.0031612916,0.0073882444,int8
0,0.019020988,0.0199778,gptq
1,0.019069115,0.018870605,gptq
2,0.023224393,0.021804608,gptq
3,0.028481381,0.026444135,gptq
4,0.03659406,0.03603135,gptq
5,0.041373394,0.04484834,gptq
6,0.05459208,0.057724036,gptq
7,0.07088648,0.07800496,gptq
8,0.091945514,0.09831579,gptq
9,0.10945256,0.11634869,gptq
10,0.11757811,0.12727392,gptq
11,0.13056415,0.14338674,gptq
12,0.13262077,0.15524411,gptq
13,0.14796026,0.15687358,gptq
14,0.15204167,0.16939631,gptq
15,0.16627826,0.20277807,gptq
16,0.16913481,0.20074764,gptq
17,0.17808147,0.22524074,gptq
18,0.18952894,0.23431781,gptq
19,0.19034505,0.25542843,gptq
20,0.19764048,0.29678884,gptq
21,0.2139666,0.2640296,gptq
22,0.2005925,0.28291735,gptq
23,0.21000503,0.3357789,gptq
24,0.2103874,0.37350067,gptq
25,0.21213792,0.37915042,gptq
26,0.2190463,0.412282,gptq
27,0.23203799,0.5765993,gptq
28,0.24659324,0.5989347,gptq
29,0.26250193,0.6618395,gptq
30,0.26510856,0.590678,gptq
31,0.27874446,0.5503876,gptq
32,0.28457385,0.71361655,gptq
33,0.25585878,0.58609766,gptq
34,0.15802915,0.5174761,gptq
35,0.10615881,0.30457526,gptq
0,0.021672148257493973,0.020908335223793983,awq
1,0.02203119732439518,0.020329710096120834,awq
2,0.025811653584241867,0.023310063406825066,awq
3,0.03173741325736046,0.028653863817453384,awq
4,0.036748841404914856,0.03543770685791969,awq
5,0.040261123329401016,0.0429765060544014,awq
6,0.051754724234342575,0.05659274384379387,awq
7,0.06591923534870148,0.07364212721586227,awq
8,0.08340099453926086,0.08939354866743088,awq
9,0.09458155184984207,0.09529376029968262,awq
10,0.10139870643615723,0.09979358315467834,awq
11,0.10922913998365402,0.10565359145402908,awq
12,0.11142711341381073,0.11471198499202728,awq
13,0.12128198891878128,0.12053971737623215,awq
14,0.1296365112066269,0.15997600555419922,awq
15,0.13672922551631927,0.14983811974525452,awq
16,0.13944880664348602,0.15321949124336243,awq
17,0.14537349343299866,0.17341871559619904,awq
18,0.15171653032302856,0.15255601704120636,awq
19,0.15231604874134064,0.16531223058700562,awq
20,0.1624312847852707,0.19189143180847168,awq
21,0.17211727797985077,0.20519037544727325,awq
22,0.16372612118721008,0.25196215510368347,awq
23,0.1720990091562271,0.29765793681144714,awq
24,0.16895434260368347,0.31496670842170715,awq
25,0.1696588546037674,0.3210962414741516,awq
26,0.18270230293273926,0.4304870367050171,awq
27,0.18690505623817444,0.4961283504962921,awq
28,0.19568820297718048,0.5479539632797241,awq
29,0.2213263064622879,0.6148203015327454,awq
30,0.2112591564655304,0.48586341738700867,awq
31,0.20205281674861908,0.4240245521068573,awq
32,0.21181969344615936,0.5288528800010681,awq
33,0.19746263325214386,0.5003055334091187,awq
34,0.1161048412322998,0.4620506465435028,awq
35,0.0780348926782608,0.2025332897901535,awq
0,0.016568990424275398,0.015858670696616173,hqq
1,0.024772780016064644,0.021328596398234367,hqq
2,0.04602564498782158,0.034776657819747925,hqq
3,0.056817907840013504,0.04526720941066742,hqq
4,0.06475985050201416,0.05395888537168503,hqq
5,0.06552238017320633,0.061012525111436844,hqq
6,0.08216160535812378,0.07245489954948425,hqq
7,0.10187797993421555,0.08428841829299927,hqq
8,0.12270503491163254,0.11558949947357178,hqq
9,0.1360979676246643,0.1214943453669548,hqq
10,0.1436610370874405,0.13523398339748383,hqq
11,0.149244025349617,0.13343001902103424,hqq
12,0.14668454229831696,0.1406097114086151,hqq
13,0.15998874604701996,0.16020707786083221,hqq
14,0.16479258239269257,0.18266437947750092,hqq
15,0.1834123432636261,0.20248271524906158,hqq
16,0.1876719892024994,0.20679080486297607,hqq
17,0.1964690387248993,0.23345132172107697,hqq
18,0.20702268183231354,0.24077259004116058,hqq
19,0.19865962862968445,0.20829030871391296,hqq
20,0.2090342789888382,0.24608203768730164,hqq
21,0.22938290238380432,0.29588398337364197,hqq
22,0.22590883076190948,0.34741705656051636,hqq
23,0.22837595641613007,0.3901192545890808,hqq
24,0.2053307443857193,0.32957205176353455,hqq
25,0.20434680581092834,0.3139156103134155,hqq
26,0.2016279548406601,0.3418177366256714,hqq
27,0.22907236218452454,0.622834324836731,hqq
28,0.241839200258255,0.6469182968139648,hqq
29,0.2521192729473114,0.5281915068626404,hqq
30,0.2638620436191559,0.546761155128479,hqq
31,0.28076809644699097,0.6334413886070251,hqq
32,0.27735552191734314,0.635088324546814,hqq
33,0.251085489988327,0.5761027932167053,hqq
34,0.12566512823104858,0.291086882352829,hqq
35,0.0855206698179245,0.19198022782802582,hqq
